"Notes"	"Age Groups"	"Age Groups Code"	"States"	"States Code"	"Year"	"Year Code"	Count	Population	Crude Rate	Crude Rate Standard Error
	"1-4 years"	"1-4"	"Illinois"	"17"	"2009"	"2009"	17	675629	2.516	0.610
	"1-4 years"	"1-4"	"Illinois"	"17"	"2010"	"2010"	24	671017	3.577	0.730
	"1-4 years"	"1-4"	"Illinois"	"17"	"2011"	"2011"	29	663225	4.373	0.812
	"1-4 years"	"1-4"	"Illinois"	"17"	"2012"	"2012"	29	654114	4.433	0.823
	"1-4 years"	"1-4"	"Illinois"	"17"	"2013"	"2013"	32	644035	4.969	0.878
	"1-4 years"	"1-4"	"Illinois"	"17"	"2014"	"2014"	25	636745	3.926	0.785
	"1-4 years"	"1-4"	"Illinois"	"17"	"2015"	"2015"	26	628143	4.139	0.812
	"1-4 years"	"1-4"	"Illinois"	"17"	"2016"	"2016"	34	623220	5.456	0.936
	"1-4 years"	"1-4"	"Illinois"	"17"	"2017"	"2017"	21	618841	3.393	0.741
	"1-4 years"	"1-4"	"Illinois"	"17"	"2018"	"2018"	30	612561	4.897	0.894
	"1-4 years"	"1-4"	"Indiana"	"18"	"2001"	"2001"	26	337960	7.693	1.509
	"1-4 years"	"1-4"	"Indiana"	"18"	"2002"	"2002"	17	341506	4.978	1.207
	"1-4 years"	"1-4"	"Indiana"	"18"	"2005"	"2005"	18	344567	5.224	1.231
	"1-4 years"	"1-4"	"Indiana"	"18"	"2006"	"2006"	22	342863	6.417	1.368
	"1-4 years"	"1-4"	"Indiana"	"18"	"2007"	"2007"	21	345177	6.084	1.328
	"1-4 years"	"1-4"	"Indiana"	"18"	"2008"	"2008"	29	348579	8.319	1.545
	"1-4 years"	"1-4"	"Indiana"	"18"	"2009"	"2009"	17	349163	4.869	1.181
	"1-4 years"	"1-4"	"Indiana"	"18"	"2010"	"2010"	17	349054	4.870	1.181
	"1-4 years"	"1-4"	"Indiana"	"18"	"2011"	"2011"	30	346137	8.667	1.582
	"1-4 years"	"1-4"	"Indiana"	"18"	"2012"	"2012"	23	341040	6.744	1.406
	"1-4 years"	"1-4"	"Indiana"	"18"	"2017"	"2017"	17	338737	5.019	1.217
	"1-4 years"	"1-4"	"Kentucky"	"21"	"2012"	"2012"	17	223000	7.623	1.849
	"1-4 years"	"1-4"	"Kentucky"	"21"	"2013"	"2013"	19	220928	8.600	1.973
	"1-4 years"	"1-4"	"Kentucky"	"21"	"2016"	"2016"	19	221275	8.587	1.970
	"1-4 years"	"1-4"	"Kentucky"	"21"	"2017"	"2017"	16	221975	7.208	1.802
	"1-4 years"	"1-4"	"Maryland"	"24"	"2008"	"2008"	19	291074	6.528	1.498
	"1-4 years"	"1-4"	"Maryland"	"24"	"2011"	"2011"	19	294235	6.457	1.481
	"1-4 years"	"1-4"	"Maryland"	"24"	"2012"	"2012"	17	294280	5.777	1.401
	"1-4 years"	"1-4"	"Maryland"	"24"	"2014"	"2014"	17	295491	5.753	1.395
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"1999"	"1999"	16	321520	4.976	1.244
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2003"	"2003"	17	310853	5.469	1.326
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2004"	"2004"	29	307528	9.430	1.751
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2006"	"2006"	24	297454	8.068	1.647
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2009"	"2009"	19	294777	6.446	1.479
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2011"	"2011"	18	293949	6.124	1.443
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2017"	"2017"	18	290209	6.202	1.462
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2018"	"2018"	17	288870	5.885	1.427
	"1-4 years"	"1-4"	"Michigan"	"26"	"2000"	"2000"	30	538949	5.566	1.016
	"1-4 years"	"1-4"	"Michigan"	"26"	"2002"	"2002"	26	534407	4.865	0.954
	"1-4 years"	"1-4"	"Michigan"	"26"	"2003"	"2003"	16	530063	3.019	0.755
	"1-4 years"	"1-4"	"Michigan"	"26"	"2004"	"2004"	26	525153	4.951	0.971
	"1-4 years"	"1-4"	"Michigan"	"26"	"2005"	"2005"	23	520905	4.415	0.921
	"1-4 years"	"1-4"	"Michigan"	"26"	"2006"	"2006"	27	510771	5.286	1.017
	"1-4 years"	"1-4"	"Michigan"	"26"	"2007"	"2007"	23	502441	4.578	0.955
	"1-4 years"	"1-4"	"Michigan"	"26"	"2008"	"2008"	27	495024	5.454	1.050
	"1-4 years"	"1-4"	"Michigan"	"26"	"2009"	"2009"	28	486285	5.758	1.088
	"1-4 years"	"1-4"	"Michigan"	"26"	"2010"	"2010"	22	479180	4.591	0.979
	"1-4 years"	"1-4"	"Michigan"	"26"	"2011"	"2011"	20	473252	4.226	0.945
	"1-4 years"	"1-4"	"Michigan"	"26"	"2012"	"2012"	30	467135	6.422	1.173
	"1-4 years"	"1-4"	"Michigan"	"26"	"2013"	"2013"	19	462711	4.106	0.942
	"1-4 years"	"1-4"	"Michigan"	"26"	"2014"	"2014"	23	460992	4.989	1.040
	"1-4 years"	"1-4"	"Michigan"	"26"	"2016"	"2016"	26	460582	5.645	1.107
	"1-4 years"	"1-4"	"Michigan"	"26"	"2018"	"2018"	19	461802	4.114	0.944
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2012"	"2012"	21	281507	7.460	1.628
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2014"	"2014"	18	279767	6.434	1.516
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2016"	"2016"	17	283282	6.001	1.455
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2017"	"2017"	21	286034	7.342	1.602
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2018"	"2018"	19	286925	6.622	1.519
	"1-4 years"	"1-4"	"Missouri"	"29"	"2005"	"2005"	17	301855	5.632	1.366
	"1-4 years"	"1-4"	"Missouri"	"29"	"2007"	"2007"	17	305717	5.561	1.349
	"1-4 years"	"1-4"	"Missouri"	"29"	"2009"	"2009"	18	312416	5.762	1.358
	"1-4 years"	"1-4"	"Missouri"	"29"	"2010"	"2010"	18	313578	5.740	1.353
	"1-4 years"	"1-4"	"Missouri"	"29"	"2011"	"2011"	22	309620	7.105	1.515
	"1-4 years"	"1-4"	"Missouri"	"29"	"2012"	"2012"	19	306072	6.208	1.424
	"1-4 years"	"1-4"	"Missouri"	"29"	"2013"	"2013"	18	301985	5.961	1.405
	"1-4 years"	"1-4"	"Missouri"	"29"	"2015"	"2015"	16	300712	5.321	1.330
	"1-4 years"	"1-4"	"Missouri"	"29"	"2016"	"2016"	23	300487	7.654	1.596
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2000"	"2000"	25	452034	5.531	1.106
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2001"	"2001"	17	449944	3.778	0.916
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2002"	"2002"	28	450251	6.219	1.175
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2003"	"2003"	29	451480	6.423	1.193
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2004"	"2004"	22	454569	4.840	1.032
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2006"	"2006"	29	449213	6.456	1.199
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2007"	"2007"	16	442155	3.619	0.905
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2008"	"2008"	26	437783	5.939	1.165
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2009"	"2009"	23	435000	5.287	1.102
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2010"	"2010"	19	435171	4.366	1.002
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2011"	"2011"	21	432288	4.858	1.060
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2012"	"2012"	20	428770	4.665	1.043
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2013"	"2013"	18	424778	4.238	0.999
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2014"	"2014"	19	423498	4.486	1.029
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2016"	"2016"	16	417781	3.830	0.957
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2017"	"2017"	22	418024	5.263	1.122
	"1-4 years"	"1-4"	"New York"	"36"	"1999"	"1999"	44	1002915	4.387	0.661
	"1-4 years"	"1-4"	"New York"	"36"	"2000"	"2000"	48	990327	4.847	0.700
	"1-4 years"	"1-4"	"New York"	"36"	"2001"	"2001"	45	969287	4.643	0.692
	"1-4 years"	"1-4"	"New York"	"36"	"2002"	"2002"	47	965513	4.868	0.710
	"1-4 years"	"1-4"	"New York"	"36"	"2003"	"2003"	28	959091	2.919	0.552
	"1-4 years"	"1-4"	"New York"	"36"	"2004"	"2004"	48	953363	5.035	0.727
	"1-4 years"	"1-4"	"New York"	"36"	"2005"	"2005"	37	943816	3.920	0.644
	"1-4 years"	"1-4"	"New York"	"36"	"2006"	"2006"	34	924991	3.676	0.630
	"1-4 years"	"1-4"	"New York"	"36"	"2007"	"2007"	40	915181	4.371	0.691
	"1-4 years"	"1-4"	"New York"	"36"	"2008"	"2008"	41	917292	4.470	0.698
	"1-4 years"	"1-4"	"New York"	"36"	"2009"	"2009"	43	920364	4.672	0.712
	"1-4 years"	"1-4"	"New York"	"36"	"2010"	"2010"	43	923829	4.655	0.710
	"1-4 years"	"1-4"	"New York"	"36"	"2011"	"2011"	42	926369	4.534	0.700
	"1-4 years"	"1-4"	"New York"	"36"	"2012"	"2012"	47	932185	5.042	0.735
	"1-4 years"	"1-4"	"New York"	"36"	"2013"	"2013"	51	935078	5.454	0.764
	"1-4 years"	"1-4"	"New York"	"36"	"2014"	"2014"	46	941490	4.886	0.720
	"1-4 years"	"1-4"	"New York"	"36"	"2015"	"2015"	60	938922	6.390	0.825
	"1-4 years"	"1-4"	"New York"	"36"	"2016"	"2016"	40	931380	4.295	0.679
	"1-4 years"	"1-4"	"New York"	"36"	"2017"	"2017"	47	924063	5.086	0.742
	"1-4 years"	"1-4"	"New York"	"36"	"2018"	"2018"	50	914208	5.469	0.773
	"1-4 years"	"1-4"	"North Carolina"	"37"	"1999"	"1999"	22	419508	5.244	1.118
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2000"	"2000"	23	427839	5.376	1.121
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2001"	"2001"	16	436216	3.668	0.917
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2002"	"2002"	24	450446	5.328	1.088
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2003"	"2003"	17	460029	3.695	0.896
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2004"	"2004"	27	466231	5.791	1.115
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2005"	"2005"	31	473376	6.549	1.176
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2006"	"2006"	21	478045	4.393	0.959
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2007"	"2007"	27	488745	5.524	1.063
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2008"	"2008"	23	501192	4.589	0.957
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2009"	"2009"	22	508956	4.323	0.922
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2010"	"2010"	32	508208	6.297	1.113
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2011"	"2011"	29	505057	5.742	1.066
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2012"	"2012"	17	497073	3.420	0.829
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2013"	"2013"	23	488954	4.704	0.981
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2014"	"2014"	18	484204	3.717	0.876
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2016"	"2016"	30	485237	6.183	1.129
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2017"	"2017"	23	489190	4.702	0.980
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2018"	"2018"	16	491342	3.256	0.814
	"1-4 years"	"1-4"	"Ohio"	"39"	"1999"	"1999"	28	609007	4.598	0.869
	"1-4 years"	"1-4"	"Ohio"	"39"	"2001"	"2001"	19	597845	3.178	0.729
	"1-4 years"	"1-4"	"Ohio"	"39"	"2002"	"2002"	33	600084	5.499	0.957
	"1-4 years"	"1-4"	"Ohio"	"39"	"2003"	"2003"	34	596006	5.705	0.978
	"1-4 years"	"1-4"	"Ohio"	"39"	"2004"	"2004"	38	592622	6.412	1.040
	"1-4 years"	"1-4"	"Ohio"	"39"	"2005"	"2005"	23	590044	3.898	0.813
	"1-4 years"	"1-4"	"Ohio"	"39"	"2006"	"2006"	35	580961	6.025	1.018
	"1-4 years"	"1-4"	"Ohio"	"39"	"2007"	"2007"	33	580087	5.689	0.990
	"1-4 years"	"1-4"	"Ohio"	"39"	"2008"	"2008"	34	581030	5.852	1.004
	"1-4 years"	"1-4"	"Ohio"	"39"	"2009"	"2009"	32	580980	5.508	0.974
	"1-4 years"	"1-4"	"Ohio"	"39"	"2010"	"2010"	28	579729	4.830	0.913
	"1-4 years"	"1-4"	"Ohio"	"39"	"2011"	"2011"	27	571905	4.721	0.909
	"1-4 years"	"1-4"	"Ohio"	"39"	"2012"	"2012"	37	562938	6.573	1.081
	"1-4 years"	"1-4"	"Ohio"	"39"	"2013"	"2013"	40	557940	7.169	1.134
	"1-4 years"	"1-4"	"Ohio"	"39"	"2014"	"2014"	33	558465	5.909	1.029
	"1-4 years"	"1-4"	"Ohio"	"39"	"2015"	"2015"	30	559116	5.366	0.980
	"1-4 years"	"1-4"	"Ohio"	"39"	"2016"	"2016"	38	561073	6.773	1.099
	"1-4 years"	"1-4"	"Ohio"	"39"	"2017"	"2017"	34	562907	6.040	1.036
	"1-4 years"	"1-4"	"Ohio"	"39"	"2018"	"2018"	21	561054	3.743	0.817
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"1999"	"1999"	22	591206	3.721	0.793
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2000"	"2000"	35	583401	5.999	1.014
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2001"	"2001"	34	575324	5.910	1.014
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2002"	"2002"	38	576556	6.591	1.069
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2003"	"2003"	33	576046	5.729	0.997
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2004"	"2004"	35	578311	6.052	1.023
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2005"	"2005"	30	579917	5.173	0.944
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2006"	"2006"	43	576959	7.453	1.137
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2007"	"2007"	31	579034	5.354	0.962
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2008"	"2008"	40	582469	6.867	1.086
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2009"	"2009"	28	585991	4.778	0.903
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2010"	"2010"	45	586824	7.668	1.143
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2011"	"2011"	28	583274	4.800	0.907
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2012"	"2012"	33	579601	5.694	0.991
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2013"	"2013"	31	573933	5.401	0.970
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2014"	"2014"	33	573000	5.759	1.003
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2015"	"2015"	28	572482	4.891	0.924
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2016"	"2016"	32	571566	5.599	0.990
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2017"	"2017"	24	571173	4.202	0.858
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2018"	"2018"	26	568323	4.575	0.897
	"1-4 years"	"1-4"	"Tennessee"	"47"	"2005"	"2005"	16	314367	5.090	1.272
	"1-4 years"	"1-4"	"Tennessee"	"47"	"2006"	"2006"	19	315007	6.032	1.384
	"1-4 years"	"1-4"	"Tennessee"	"47"	"2008"	"2008"	17	322932	5.264	1.277
	"1-4 years"	"1-4"	"Tennessee"	"47"	"2012"	"2012"	18	322972	5.573	1.314
	"1-4 years"	"1-4"	"Tennessee"	"47"	"2013"	"2013"	21	320606	6.550	1.429
	"1-4 years"	"1-4"	"Tennessee"	"47"	"2014"	"2014"	17	320894	5.298	1.285
	"1-4 years"	"1-4"	"Tennessee"	"47"	"2016"	"2016"	24	325160	7.381	1.507
	"1-4 years"	"1-4"	"Tennessee"	"47"	"2017"	"2017"	20	327238	6.112	1.367
	"1-4 years"	"1-4"	"Tennessee"	"47"	"2018"	"2018"	16	328232	4.875	1.219
	"1-4 years"	"1-4"	"Texas"	"48"	"1999"	"1999"	66	1284813	5.137	0.632
	"1-4 years"	"1-4"	"Texas"	"48"	"2000"	"2000"	59	1291553	4.568	0.595
	"1-4 years"	"1-4"	"Texas"	"48"	"2001"	"2001"	56	1308559	4.280	0.572
	"1-4 years"	"1-4"	"Texas"	"48"	"2002"	"2002"	51	1349732	3.779	0.529
	"1-4 years"	"1-4"	"Texas"	"48"	"2003"	"2003"	62	1386868	4.471	0.568
	"1-4 years"	"1-4"	"Texas"	"48"	"2004"	"2004"	69	1425797	4.839	0.583
	"1-4 years"	"1-4"	"Texas"	"48"	"2005"	"2005"	53	1455861	3.640	0.500
	"1-4 years"	"1-4"	"Texas"	"48"	"2006"	"2006"	65	1484194	4.379	0.543
	"1-4 years"	"1-4"	"Texas"	"48"	"2007"	"2007"	73	1506810	4.845	0.567
	"1-4 years"	"1-4"	"Texas"	"48"	"2008"	"2008"	87	1528319	5.693	0.610
	"1-4 years"	"1-4"	"Texas"	"48"	"2009"	"2009"	75	1543625	4.859	0.561
	"1-4 years"	"1-4"	"Texas"	"48"	"2010"	"2010"	80	1550589	5.159	0.577
