"Notes"	"Age Group"	"Age Group Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"10-14 years"	"10-14"	"California"	"06"	"2015"	"2015"	23	2517719	0.914	0.190
	"10-14 years"	"10-14"	"California"	"06"	"2016"	"2016"	17	2520209	0.675	0.164
	"10-14 years"	"10-14"	"California"	"06"	"2017"	"2017"	20	2539199	0.788	0.176
	"10-14 years"	"10-14"	"Texas"	"48"	"2003"	"2003"	16	1726691	0.927	0.232
	"10-14 years"	"10-14"	"Texas"	"48"	"2004"	"2004"	17	1745932	0.974	0.236
	"10-14 years"	"10-14"	"Texas"	"48"	"2013"	"2013"	17	1969989	0.863	0.209
	"10-14 years"	"10-14"	"Texas"	"48"	"2014"	"2014"	16	1999139	0.800	0.200
	"10-14 years"	"10-14"	"Texas"	"48"	"2016"	"2016"	18	2040570	0.882	0.208
	"15-19 years"	"15-19"	"California"	"06"	"2005"	"2005"	16	2683940	0.596	0.149
	"15-19 years"	"15-19"	"California"	"06"	"2006"	"2006"	19	2743849	0.692	0.159
	"15-19 years"	"15-19"	"California"	"06"	"2008"	"2008"	17	2823230	0.602	0.146
	"15-19 years"	"15-19"	"California"	"06"	"2011"	"2011"	19	2745490	0.692	0.159
	"15-19 years"	"15-19"	"California"	"06"	"2013"	"2013"	17	2656458	0.640	0.155
	"15-19 years"	"15-19"	"California"	"06"	"2015"	"2015"	18	2598665	0.693	0.163
	"15-19 years"	"15-19"	"California"	"06"	"2016"	"2016"	20	2579376	0.775	0.173
	"15-19 years"	"15-19"	"Texas"	"48"	"2003"	"2003"	18	1693677	1.063	0.250
	"20-24 years"	"20-24"	"California"	"06"	"1999"	"1999"	17	2303169	0.738	0.179
	"20-24 years"	"20-24"	"California"	"06"	"2001"	"2001"	18	2500519	0.720	0.170
	"20-24 years"	"20-24"	"California"	"06"	"2005"	"2005"	16	2648417	0.604	0.151
	"20-24 years"	"20-24"	"California"	"06"	"2007"	"2007"	21	2658718	0.790	0.172
	"20-24 years"	"20-24"	"California"	"06"	"2014"	"2014"	16	2916144	0.549	0.137
	"20-24 years"	"20-24"	"California"	"06"	"2015"	"2015"	18	2871459	0.627	0.148
	"25-29 years"	"25-29"	"California"	"06"	"1999"	"1999"	21	2563984	0.819	0.179
	"25-29 years"	"25-29"	"California"	"06"	"2000"	"2000"	16	2538599	0.630	0.158
	"25-29 years"	"25-29"	"California"	"06"	"2001"	"2001"	22	2511761	0.876	0.187
	"25-29 years"	"25-29"	"California"	"06"	"2002"	"2002"	16	2503790	0.639	0.160
	"25-29 years"	"25-29"	"California"	"06"	"2003"	"2003"	21	2514926	0.835	0.182
	"25-29 years"	"25-29"	"California"	"06"	"2004"	"2004"	17	2552577	0.666	0.162
	"25-29 years"	"25-29"	"California"	"06"	"2005"	"2005"	24	2598001	0.924	0.189
	"25-29 years"	"25-29"	"California"	"06"	"2006"	"2006"	28	2657935	1.053	0.199
	"25-29 years"	"25-29"	"California"	"06"	"2007"	"2007"	17	2692305	0.631	0.153
	"25-29 years"	"25-29"	"California"	"06"	"2008"	"2008"	19	2729493	0.696	0.160
	"25-29 years"	"25-29"	"California"	"06"	"2009"	"2009"	28	2744863	1.020	0.193
	"25-29 years"	"25-29"	"California"	"06"	"2011"	"2011"	18	2773460	0.649	0.153
	"25-29 years"	"25-29"	"California"	"06"	"2012"	"2012"	22	2794294	0.787	0.168
	"25-29 years"	"25-29"	"California"	"06"	"2013"	"2013"	23	2836305	0.811	0.169
	"25-29 years"	"25-29"	"California"	"06"	"2014"	"2014"	22	2907543	0.757	0.161
	"25-29 years"	"25-29"	"California"	"06"	"2015"	"2015"	20	2990012	0.669	0.150
	"25-29 years"	"25-29"	"California"	"06"	"2018"	"2018"	23	3119564	0.737	0.154
	"25-29 years"	"25-29"	"New York"	"36"	"2009"	"2009"	17	1373104	1.238	0.300
	"25-29 years"	"25-29"	"Texas"	"48"	"2000"	"2000"	20	1587889	1.260	0.282
	"25-29 years"	"25-29"	"Texas"	"48"	"2012"	"2012"	16	1904802	0.840	0.210
	"25-29 years"	"25-29"	"Texas"	"48"	"2016"	"2016"	17	2083268	0.816	0.198
	"30-34 years"	"30-34"	"California"	"06"	"1999"	"1999"	25	2714559	0.921	0.184
	"30-34 years"	"30-34"	"California"	"06"	"2000"	"2000"	23	2691610	0.855	0.178
	"30-34 years"	"30-34"	"California"	"06"	"2001"	"2001"	36	2722640	1.322	0.220
	"30-34 years"	"30-34"	"California"	"06"	"2002"	"2002"	27	2721499	0.992	0.191
	"30-34 years"	"30-34"	"California"	"06"	"2003"	"2003"	28	2696223	1.038	0.196
	"30-34 years"	"30-34"	"California"	"06"	"2004"	"2004"	24	2648724	0.906	0.185
	"30-34 years"	"30-34"	"California"	"06"	"2005"	"2005"	29	2572421	1.127	0.209
	"30-34 years"	"30-34"	"California"	"06"	"2006"	"2006"	31	2512058	1.234	0.222
	"30-34 years"	"30-34"	"California"	"06"	"2007"	"2007"	29	2488229	1.165	0.216
	"30-34 years"	"30-34"	"California"	"06"	"2008"	"2008"	26	2497578	1.041	0.204
	"30-34 years"	"30-34"	"California"	"06"	"2009"	"2009"	21	2534696	0.829	0.181
	"30-34 years"	"30-34"	"California"	"06"	"2010"	"2010"	25	2584514	0.967	0.193
	"30-34 years"	"30-34"	"California"	"06"	"2011"	"2011"	28	2636139	1.062	0.201
	"30-34 years"	"30-34"	"California"	"06"	"2012"	"2012"	26	2691413	0.966	0.189
	"30-34 years"	"30-34"	"California"	"06"	"2013"	"2013"	23	2750476	0.836	0.174
	"30-34 years"	"30-34"	"California"	"06"	"2014"	"2014"	30	2799352	1.072	0.196
	"30-34 years"	"30-34"	"California"	"06"	"2015"	"2015"	25	2829199	0.884	0.177
	"30-34 years"	"30-34"	"California"	"06"	"2016"	"2016"	26	2862577	0.908	0.178
	"30-34 years"	"30-34"	"California"	"06"	"2017"	"2017"	22	2882843	0.763	0.163
	"30-34 years"	"30-34"	"California"	"06"	"2018"	"2018"	29	2912204	0.996	0.185
	"30-34 years"	"30-34"	"Florida"	"12"	"1999"	"1999"	19	1098372	1.730	0.397
	"30-34 years"	"30-34"	"Florida"	"12"	"2001"	"2001"	16	1100658	1.454	0.363
	"30-34 years"	"30-34"	"Florida"	"12"	"2013"	"2013"	17	1204569	1.411	0.342
	"30-34 years"	"30-34"	"Florida"	"12"	"2014"	"2014"	17	1233911	1.378	0.334
	"30-34 years"	"30-34"	"Florida"	"12"	"2017"	"2017"	20	1322559	1.512	0.338
	"30-34 years"	"30-34"	"New York"	"36"	"2000"	"2000"	18	1452273	1.239	0.292
	"30-34 years"	"30-34"	"New York"	"36"	"2001"	"2001"	20	1439209	1.390	0.311
	"30-34 years"	"30-34"	"New York"	"36"	"2002"	"2002"	17	1413944	1.202	0.292
	"30-34 years"	"30-34"	"New York"	"36"	"2004"	"2004"	16	1330171	1.203	0.301
	"30-34 years"	"30-34"	"New York"	"36"	"2006"	"2006"	17	1234210	1.377	0.334
	"30-34 years"	"30-34"	"New York"	"36"	"2015"	"2015"	19	1367912	1.389	0.319
	"30-34 years"	"30-34"	"New York"	"36"	"2017"	"2017"	16	1382712	1.157	0.289
	"30-34 years"	"30-34"	"New York"	"36"	"2018"	"2018"	18	1391090	1.294	0.305
	"30-34 years"	"30-34"	"Ohio"	"39"	"1999"	"1999"	17	788462	2.156	0.523
	"30-34 years"	"30-34"	"Texas"	"48"	"2000"	"2000"	21	1574951	1.333	0.291
	"30-34 years"	"30-34"	"Texas"	"48"	"2001"	"2001"	24	1611160	1.490	0.304
	"30-34 years"	"30-34"	"Texas"	"48"	"2002"	"2002"	17	1643508	1.034	0.251
	"30-34 years"	"30-34"	"Texas"	"48"	"2003"	"2003"	19	1657013	1.147	0.263
	"30-34 years"	"30-34"	"Texas"	"48"	"2004"	"2004"	18	1660785	1.084	0.255
	"30-34 years"	"30-34"	"Texas"	"48"	"2008"	"2008"	19	1685788	1.127	0.259
	"30-34 years"	"30-34"	"Texas"	"48"	"2009"	"2009"	22	1724325	1.276	0.272
	"30-34 years"	"30-34"	"Texas"	"48"	"2012"	"2012"	24	1871693	1.282	0.262
	"30-34 years"	"30-34"	"Texas"	"48"	"2013"	"2013"	22	1920307	1.146	0.244
	"30-34 years"	"30-34"	"Texas"	"48"	"2014"	"2014"	17	1965646	0.865	0.210
	"30-34 years"	"30-34"	"Texas"	"48"	"2015"	"2015"	18	2001183	0.899	0.212
	"30-34 years"	"30-34"	"Texas"	"48"	"2016"	"2016"	24	2034262	1.180	0.241
	"30-34 years"	"30-34"	"Texas"	"48"	"2017"	"2017"	20	2054459	0.973	0.218
	"30-34 years"	"30-34"	"Texas"	"48"	"2018"	"2018"	24	2071171	1.159	0.237
	"35-39 years"	"35-39"	"Arizona"	"04"	"2009"	"2009"	17	420284	4.045	0.981
	"35-39 years"	"35-39"	"California"	"06"	"1999"	"1999"	46	2830371	1.625	0.240
	"35-39 years"	"35-39"	"California"	"06"	"2000"	"2000"	55	2812409	1.956	0.264
	"35-39 years"	"35-39"	"California"	"06"	"2001"	"2001"	48	2786905	1.722	0.249
	"35-39 years"	"35-39"	"California"	"06"	"2002"	"2002"	38	2744578	1.385	0.225
	"35-39 years"	"35-39"	"California"	"06"	"2003"	"2003"	38	2710998	1.402	0.227
	"35-39 years"	"35-39"	"California"	"06"	"2004"	"2004"	36	2681027	1.343	0.224
	"35-39 years"	"35-39"	"California"	"06"	"2005"	"2005"	36	2682400	1.342	0.224
	"35-39 years"	"35-39"	"California"	"06"	"2006"	"2006"	47	2689290	1.748	0.255
	"35-39 years"	"35-39"	"California"	"06"	"2007"	"2007"	35	2674758	1.309	0.221
	"35-39 years"	"35-39"	"California"	"06"	"2008"	"2008"	34	2650671	1.283	0.220
	"35-39 years"	"35-39"	"California"	"06"	"2009"	"2009"	41	2614976	1.568	0.245
	"35-39 years"	"35-39"	"California"	"06"	"2010"	"2010"	43	2563213	1.678	0.256
	"35-39 years"	"35-39"	"California"	"06"	"2011"	"2011"	44	2519606	1.746	0.263
	"35-39 years"	"35-39"	"California"	"06"	"2012"	"2012"	35	2513742	1.392	0.235
	"35-39 years"	"35-39"	"California"	"06"	"2013"	"2013"	29	2524909	1.149	0.213
	"35-39 years"	"35-39"	"California"	"06"	"2014"	"2014"	44	2550643	1.725	0.260
	"35-39 years"	"35-39"	"California"	"06"	"2015"	"2015"	53	2599166	2.039	0.280
	"35-39 years"	"35-39"	"California"	"06"	"2016"	"2016"	51	2650511	1.924	0.269
	"35-39 years"	"35-39"	"California"	"06"	"2017"	"2017"	32	2701970	1.184	0.209
	"35-39 years"	"35-39"	"California"	"06"	"2018"	"2018"	56	2750320	2.036	0.272
	"35-39 years"	"35-39"	"Florida"	"12"	"1999"	"1999"	17	1260288	1.349	0.327
	"35-39 years"	"35-39"	"Florida"	"12"	"2000"	"2000"	32	1260735	2.538	0.449
	"35-39 years"	"35-39"	"Florida"	"12"	"2001"	"2001"	25	1251686	1.997	0.399
	"35-39 years"	"35-39"	"Florida"	"12"	"2002"	"2002"	22	1236573	1.779	0.379
	"35-39 years"	"35-39"	"Florida"	"12"	"2004"	"2004"	24	1202373	1.996	0.407
	"35-39 years"	"35-39"	"Florida"	"12"	"2005"	"2005"	20	1209128	1.654	0.370
	"35-39 years"	"35-39"	"Florida"	"12"	"2011"	"2011"	19	1142977	1.662	0.381
	"35-39 years"	"35-39"	"Florida"	"12"	"2012"	"2012"	23	1136680	2.023	0.422
	"35-39 years"	"35-39"	"Florida"	"12"	"2013"	"2013"	16	1143038	1.400	0.350
	"35-39 years"	"35-39"	"Florida"	"12"	"2017"	"2017"	20	1280346	1.562	0.349
	"35-39 years"	"35-39"	"Florida"	"12"	"2018"	"2018"	21	1313625	1.599	0.349
	"35-39 years"	"35-39"	"Georgia"	"13"	"2014"	"2014"	16	659889	2.425	0.606
	"35-39 years"	"35-39"	"Illinois"	"17"	"1999"	"1999"	21	1009780	2.080	0.454
	"35-39 years"	"35-39"	"Illinois"	"17"	"2000"	"2000"	17	992982	1.712	0.415
	"35-39 years"	"35-39"	"Illinois"	"17"	"2003"	"2003"	18	921738	1.953	0.460
	"35-39 years"	"35-39"	"Illinois"	"17"	"2009"	"2009"	16	871430	1.836	0.459
	"35-39 years"	"35-39"	"Illinois"	"17"	"2015"	"2015"	17	839300	2.025	0.491
	"35-39 years"	"35-39"	"Illinois"	"17"	"2016"	"2016"	22	846793	2.598	0.554
	"35-39 years"	"35-39"	"Illinois"	"17"	"2018"	"2018"	16	852981	1.876	0.469
	"35-39 years"	"35-39"	"Indiana"	"18"	"2003"	"2003"	17	439603	3.867	0.938
	"35-39 years"	"35-39"	"Maryland"	"24"	"2001"	"2001"	18	457097	3.938	0.928
	"35-39 years"	"35-39"	"Michigan"	"26"	"1999"	"1999"	20	797517	2.508	0.561
	"35-39 years"	"35-39"	"Michigan"	"26"	"2000"	"2000"	19	783741	2.424	0.556
	"35-39 years"	"35-39"	"Michigan"	"26"	"2002"	"2002"	18	743805	2.420	0.570
	"35-39 years"	"35-39"	"Michigan"	"26"	"2006"	"2006"	16	691345	2.314	0.579
	"35-39 years"	"35-39"	"Michigan"	"26"	"2008"	"2008"	20	658307	3.038	0.679
	"35-39 years"	"35-39"	"Minnesota"	"27"	"1999"	"1999"	16	418658	3.822	0.955
	"35-39 years"	"35-39"	"Minnesota"	"27"	"2000"	"2000"	16	411295	3.890	0.973
	"35-39 years"	"35-39"	"New Jersey"	"34"	"2004"	"2004"	19	667565	2.846	0.653
	"35-39 years"	"35-39"	"New York"	"36"	"1999"	"1999"	20	1577435	1.268	0.284
	"35-39 years"	"35-39"	"New York"	"36"	"2000"	"2000"	19	1561224	1.217	0.279
	"35-39 years"	"35-39"	"New York"	"36"	"2001"	"2001"	21	1539037	1.364	0.298
	"35-39 years"	"35-39"	"New York"	"36"	"2002"	"2002"	29	1507528	1.924	0.357
	"35-39 years"	"35-39"	"New York"	"36"	"2003"	"2003"	26	1471595	1.767	0.346
	"35-39 years"	"35-39"	"New York"	"36"	"2004"	"2004"	18	1429534	1.259	0.297
	"35-39 years"	"35-39"	"New York"	"36"	"2005"	"2005"	27	1403066	1.924	0.370
	"35-39 years"	"35-39"	"New York"	"36"	"2006"	"2006"	18	1381743	1.303	0.307
	"35-39 years"	"35-39"	"New York"	"36"	"2007"	"2007"	17	1353206	1.256	0.305
	"35-39 years"	"35-39"	"New York"	"36"	"2009"	"2009"	21	1284954	1.634	0.357
	"35-39 years"	"35-39"	"New York"	"36"	"2010"	"2010"	24	1247007	1.925	0.393
	"35-39 years"	"35-39"	"New York"	"36"	"2012"	"2012"	18	1210781	1.487	0.350
	"35-39 years"	"35-39"	"New York"	"36"	"2013"	"2013"	17	1216196	1.398	0.339
	"35-39 years"	"35-39"	"New York"	"36"	"2014"	"2014"	19	1226513	1.549	0.355
	"35-39 years"	"35-39"	"New York"	"36"	"2015"	"2015"	18	1241035	1.450	0.342
	"35-39 years"	"35-39"	"New York"	"36"	"2016"	"2016"	30	1254071	2.392	0.437
	"35-39 years"	"35-39"	"New York"	"36"	"2018"	"2018"	23	1270538	1.810	0.377
	"35-39 years"	"35-39"	"North Carolina"	"37"	"2018"	"2018"	19	658006	2.888	0.662
	"35-39 years"	"35-39"	"Ohio"	"39"	"1999"	"1999"	18	897269	2.006	0.473
	"35-39 years"	"35-39"	"Ohio"	"39"	"2000"	"2000"	21	879343	2.388	0.521
	"35-39 years"	"35-39"	"Ohio"	"39"	"2001"	"2001"	16	853193	1.875	0.469
	"35-39 years"	"35-39"	"Ohio"	"39"	"2002"	"2002"	17	826781	2.056	0.499
	"35-39 years"	"35-39"	"Ohio"	"39"	"2009"	"2009"	17	736000	2.310	0.560
	"35-39 years"	"35-39"	"Ohio"	"39"	"2011"	"2011"	19	683625	2.779	0.638
	"35-39 years"	"35-39"	"Ohio"	"39"	"2015"	"2015"	19	690714	2.751	0.631
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"1999"	"1999"	16	964553	1.659	0.415
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"2000"	"2000"	19	946077	2.008	0.461
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"2008"	"2008"	17	807688	2.105	0.510
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"2015"	"2015"	17	738315	2.303	0.558
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"2016"	"2016"	17	753907	2.255	0.547
	"35-39 years"	"35-39"	"Texas"	"48"	"1999"	"1999"	30	1697408	1.767	0.323
	"35-39 years"	"35-39"	"Texas"	"48"	"2000"	"2000"	24	1689146	1.421	0.290
	"35-39 years"	"35-39"	"Texas"	"48"	"2001"	"2001"	30	1666534	1.800	0.329
	"35-39 years"	"35-39"	"Texas"	"48"	"2002"	"2002"	32	1639570	1.952	0.345
	"35-39 years"	"35-39"	"Texas"	"48"	"2003"	"2003"	30	1613767	1.859	0.339
	"35-39 years"	"35-39"	"Texas"	"48"	"2004"	"2004"	34	1604475	2.119	0.363
	"35-39 years"	"35-39"	"Texas"	"48"	"2005"	"2005"	25	1622221	1.541	0.308
	"35-39 years"	"35-39"	"Texas"	"48"	"2006"	"2006"	26	1672898	1.554	0.305
	"35-39 years"	"35-39"	"Texas"	"48"	"2007"	"2007"	24	1718605	1.396	0.285
	"35-39 years"	"35-39"	"Texas"	"48"	"2008"	"2008"	26	1748350	1.487	0.292
	"35-39 years"	"35-39"	"Texas"	"48"	"2009"	"2009"	22	1763360	1.248	0.266
	"35-39 years"	"35-39"	"Texas"	"48"	"2010"	"2010"	24	1762239	1.362	0.278
	"35-39 years"	"35-39"	"Texas"	"48"	"2011"	"2011"	31	1749047	1.772	0.318
	"35-39 years"	"35-39"	"Texas"	"48"	"2012"	"2012"	29	1757153	1.650	0.306
	"35-39 years"	"35-39"	"Texas"	"48"	"2013"	"2013"	25	1775219	1.408	0.282
	"35-39 years"	"35-39"	"Texas"	"48"	"2014"	"2014"	27	1812587	1.490	0.287
	"35-39 years"	"35-39"	"Texas"	"48"	"2015"	"2015"	32	1870902	1.710	0.302
	"35-39 years"	"35-39"	"Texas"	"48"	"2016"	"2016"	29	1928375	1.504	0.279
	"35-39 years"	"35-39"	"Texas"	"48"	"2017"	"2017"	26	1979091	1.314	0.258
	"35-39 years"	"35-39"	"Texas"	"48"	"2018"	"2018"	38	2027025	1.875	0.304
	"35-39 years"	"35-39"	"Washington"	"53"	"1999"	"1999"	21	491019	4.277	0.933
	"35-39 years"	"35-39"	"Washington"	"53"	"2001"	"2001"	17	471662	3.604	0.874
	"35-39 years"	"35-39"	"Washington"	"53"	"2010"	"2010"	18	446792	4.029	0.950
	"40-44 years"	"40-44"	"Arizona"	"04"	"2003"	"2003"	18	401649	4.482	1.056
	"40-44 years"	"40-44"	"California"	"06"	"1999"	"1999"	61	2631815	2.318	0.297
	"40-44 years"	"40-44"	"California"	"06"	"2000"	"2000"	78	2681664	2.909	0.329
	"40-44 years"	"40-44"	"California"	"06"	"2001"	"2001"	71	2729412	2.601	0.309
	"40-44 years"	"40-44"	"California"	"06"	"2002"	"2002"	73	2755721	2.649	0.310
	"40-44 years"	"40-44"	"California"	"06"	"2003"	"2003"	76	2774875	2.739	0.314
	"40-44 years"	"40-44"	"California"	"06"	"2004"	"2004"	59	2793165	2.112	0.275
	"40-44 years"	"40-44"	"California"	"06"	"2005"	"2005"	61	2766179	2.205	0.282
	"40-44 years"	"40-44"	"California"	"06"	"2006"	"2006"	52	2719455	1.912	0.265
	"40-44 years"	"40-44"	"California"	"06"	"2007"	"2007"	67	2664103	2.515	0.307
	"40-44 years"	"40-44"	"California"	"06"	"2008"	"2008"	64	2628234	2.435	0.304
	"40-44 years"	"40-44"	"California"	"06"	"2009"	"2009"	72	2599362	2.770	0.326
	"40-44 years"	"40-44"	"California"	"06"	"2010"	"2010"	43	2612457	1.646	0.251
	"40-44 years"	"40-44"	"California"	"06"	"2011"	"2011"	62	2634328	2.354	0.299
	"40-44 years"	"40-44"	"California"	"06"	"2012"	"2012"	60	2636559	2.276	0.294
	"40-44 years"	"40-44"	"California"	"06"	"2013"	"2013"	48	2619228	1.833	0.265
	"40-44 years"	"40-44"	"California"	"06"	"2014"	"2014"	47	2587358	1.817	0.265
	"40-44 years"	"40-44"	"California"	"06"	"2015"	"2015"	55	2543524	2.162	0.292
	"40-44 years"	"40-44"	"California"	"06"	"2016"	"2016"	45	2502320	1.798	0.268
	"40-44 years"	"40-44"	"California"	"06"	"2017"	"2017"	54	2492791	2.166	0.295
	"40-44 years"	"40-44"	"California"	"06"	"2018"	"2018"	51	2492623	2.046	0.287
	"40-44 years"	"40-44"	"Florida"	"12"	"1999"	"1999"	41	1196187	3.428	0.535
	"40-44 years"	"40-44"	"Florida"	"12"	"2000"	"2000"	39	1231365	3.167	0.507
	"40-44 years"	"40-44"	"Florida"	"12"	"2001"	"2001"	33	1268344	2.602	0.453
	"40-44 years"	"40-44"	"Florida"	"12"	"2002"	"2002"	31	1295548	2.393	0.430
	"40-44 years"	"40-44"	"Florida"	"12"	"2003"	"2003"	28	1317985	2.124	0.401
	"40-44 years"	"40-44"	"Florida"	"12"	"2004"	"2004"	29	1349142	2.150	0.399
	"40-44 years"	"40-44"	"Florida"	"12"	"2005"	"2005"	39	1365504	2.856	0.457
	"40-44 years"	"40-44"	"Florida"	"12"	"2006"	"2006"	31	1359055	2.281	0.410
	"40-44 years"	"40-44"	"Florida"	"12"	"2007"	"2007"	27	1331439	2.028	0.390
	"40-44 years"	"40-44"	"Florida"	"12"	"2008"	"2008"	35	1297425	2.698	0.456
	"40-44 years"	"40-44"	"Florida"	"12"	"2009"	"2009"	28	1262559	2.218	0.419
	"40-44 years"	"40-44"	"Florida"	"12"	"2010"	"2010"	26	1252866	2.075	0.407
	"40-44 years"	"40-44"	"Florida"	"12"	"2011"	"2011"	25	1259510	1.985	0.397
	"40-44 years"	"40-44"	"Florida"	"12"	"2012"	"2012"	32	1265699	2.528	0.447
