"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Childhood Cancers"	"Childhood Cancers Code"	Count	Population	Age-Adjusted Rate
	"Alabama"	"01"	"2002"	"2002"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	34	1244435	26.912
	"Alabama"	"01"	"2002"	"2002"	"II(a) Hodgkin lymphomas"	"21"	19	1244435	14.950
	"Alabama"	"01"	"2002"	"2002"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	42	1244435	33.968
	"Alabama"	"01"	"2002"	"2002"	"III(b) Astrocytomas"	"32"	19	1244435	15.401
	"Alabama"	"01"	"2002"	"2002"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	23	1244435	18.117
	"Alabama"	"01"	"2003"	"2003"	"All Childhood Invasive Cancer Sites Combined"	"0"	173	1242649	138.788
	"Alabama"	"01"	"2003"	"2003"	"I Leukemia"	"10"	39	1242649	31.549
	"Alabama"	"01"	"2003"	"2003"	"I(a) Lymphoid leukemias"	"11"	25	1242649	20.272
	"Alabama"	"01"	"2003"	"2003"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	33	1242649	26.305
	"Alabama"	"01"	"2003"	"2003"	"II(a) Hodgkin lymphomas"	"21"	21	1242649	16.540
	"Alabama"	"01"	"2003"	"2003"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	22	1242649	17.893
	"Alabama"	"01"	"2003"	"2003"	"IX Soft-tissue sarcomas"	"90"	18	1242649	14.222
	"Alabama"	"01"	"2003"	"2003"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	22	1242649	17.350
	"Alabama"	"01"	"2004"	"2004"	"All Childhood Invasive Cancer Sites Combined"	"0"	221	1244847	177.843
	"Alabama"	"01"	"2004"	"2004"	"I Leukemia"	"10"	43	1244847	35.023
	"Alabama"	"01"	"2004"	"2004"	"I(a) Lymphoid leukemias"	"11"	36	1244847	29.503
	"Alabama"	"01"	"2004"	"2004"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	25	1244847	19.699
	"Alabama"	"01"	"2004"	"2004"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	52	1244847	42.492
	"Alabama"	"01"	"2004"	"2004"	"III(b) Astrocytomas"	"32"	22	1244847	18.001
	"Alabama"	"01"	"2004"	"2004"	"IX Soft-tissue sarcomas"	"90"	27	1244847	21.565
	"Alabama"	"01"	"2004"	"2004"	"X Germ-cell, trophoblastic and other gonadal neoplasms"	"100"	21	1244847	16.572
	"Alabama"	"01"	"2004"	"2004"	"X(c) Malignant gonadal germ cell tumors"	"103"	17	1244847	13.383
	"Alabama"	"01"	"2004"	"2004"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	21	1244847	16.340
	"Alabama"	"01"	"2005"	"2005"	"All Childhood Invasive Cancer Sites Combined"	"0"	170	1247558	134.874
	"Alabama"	"01"	"2005"	"2005"	"I Leukemia"	"10"	35	1247558	27.971
	"Alabama"	"01"	"2005"	"2005"	"I(a) Lymphoid leukemias"	"11"	26	1247558	20.843
	"Alabama"	"01"	"2005"	"2005"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	27	1247558	21.074
	"Alabama"	"01"	"2005"	"2005"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	33	1247558	26.635
	"Alabama"	"01"	"2005"	"2005"	"IX Soft-tissue sarcomas"	"90"	20	1247558	15.718
	"Alabama"	"01"	"2006"	"2006"	"All Childhood Invasive Cancer Sites Combined"	"0"	186	1259673	146.776
	"Alabama"	"01"	"2006"	"2006"	"I Leukemia"	"10"	41	1259673	32.648
	"Alabama"	"01"	"2006"	"2006"	"I(a) Lymphoid leukemias"	"11"	28	1259673	22.517
	"Alabama"	"01"	"2006"	"2006"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	38	1259673	29.481
	"Alabama"	"01"	"2006"	"2006"	"II(a) Hodgkin lymphomas"	"21"	16	1259673	12.166
	"Alabama"	"01"	"2006"	"2006"	"II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)"	"22"	18	1259673	14.077
	"Alabama"	"01"	"2006"	"2006"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	42	1259673	33.656
	"Alabama"	"01"	"2006"	"2006"	"III(b) Astrocytomas"	"32"	25	1259673	20.078
	"Alabama"	"01"	"2006"	"2006"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	17	1259673	12.982
	"Alabama"	"01"	"2007"	"2007"	"All Childhood Invasive Cancer Sites Combined"	"0"	210	1267999	164.252
	"Alabama"	"01"	"2007"	"2007"	"I Leukemia"	"10"	45	1267999	35.830
	"Alabama"	"01"	"2007"	"2007"	"I(a) Lymphoid leukemias"	"11"	33	1267999	26.604
	"Alabama"	"01"	"2007"	"2007"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	23	1267999	17.627
	"Alabama"	"01"	"2007"	"2007"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	33	1267999	26.170
	"Alabama"	"01"	"2007"	"2007"	"III(b) Astrocytomas"	"32"	17	1267999	13.354
	"Alabama"	"01"	"2007"	"2007"	"IX Soft-tissue sarcomas"	"90"	28	1267999	21.548
	"Alabama"	"01"	"2007"	"2007"	"IX(d) Other specified soft tissue sarcomas"	"94"	16	1267999	12.202
	"Alabama"	"01"	"2007"	"2007"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	24	1267999	18.099
	"Alabama"	"01"	"2008"	"2008"	"All Childhood Invasive Cancer Sites Combined"	"0"	208	1276607	160.895
	"Alabama"	"01"	"2008"	"2008"	"I Leukemia"	"10"	53	1276607	41.542
	"Alabama"	"01"	"2008"	"2008"	"I(a) Lymphoid leukemias"	"11"	37	1276607	29.279
	"Alabama"	"01"	"2008"	"2008"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	33	1276607	25.028
	"Alabama"	"01"	"2008"	"2008"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	35	1276607	27.500
	"Alabama"	"01"	"2008"	"2008"	"III(b) Astrocytomas"	"32"	17	1276607	13.213
	"Alabama"	"01"	"2008"	"2008"	"IX Soft-tissue sarcomas"	"90"	20	1276607	15.416
	"Alabama"	"01"	"2008"	"2008"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	17	1276607	12.777
	"Alabama"	"01"	"2009"	"2009"	"All Childhood Invasive Cancer Sites Combined"	"0"	209	1278959	162.883
	"Alabama"	"01"	"2009"	"2009"	"I Leukemia"	"10"	55	1278959	43.386
	"Alabama"	"01"	"2009"	"2009"	"I(a) Lymphoid leukemias"	"11"	31	1278959	24.790
	"Alabama"	"01"	"2009"	"2009"	"I(b) Acute myeloid leukemias"	"12"	16	1278959	12.467
	"Alabama"	"01"	"2009"	"2009"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	29	1278959	22.192
	"Alabama"	"01"	"2009"	"2009"	"II(a) Hodgkin lymphomas"	"21"	19	1278959	14.198
	"Alabama"	"01"	"2009"	"2009"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	31	1278959	24.510
	"Alabama"	"01"	"2009"	"2009"	"IV Sympathetic nervous system tumors"	"40"	16	1278959	12.646
	"Alabama"	"01"	"2009"	"2009"	"IV(a) Neuroblastoma and ganglioneuroblastoma"	"41"	16	1278959	12.646
	"Alabama"	"01"	"2009"	"2009"	"X Germ-cell, trophoblastic and other gonadal neoplasms"	"100"	16	1278959	12.199
	"Alabama"	"01"	"2009"	"2009"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	24	1278959	18.067
	"Alabama"	"01"	"2010"	"2010"	"All Childhood Invasive Cancer Sites Combined"	"0"	189	1272444	147.873
	"Alabama"	"01"	"2010"	"2010"	"I Leukemia"	"10"	38	1272444	30.009
	"Alabama"	"01"	"2010"	"2010"	"I(a) Lymphoid leukemias"	"11"	27	1272444	21.393
	"Alabama"	"01"	"2010"	"2010"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	27	1272444	20.791
	"Alabama"	"01"	"2010"	"2010"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	42	1272444	33.489
	"Alabama"	"01"	"2010"	"2010"	"III(b) Astrocytomas"	"32"	24	1272444	19.116
	"Alabama"	"01"	"2010"	"2010"	"IX Soft-tissue sarcomas"	"90"	20	1272444	15.448
	"Alabama"	"01"	"2010"	"2010"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	17	1272444	12.985
	"Alabama"	"01"	"2011"	"2011"	"All Childhood Invasive Cancer Sites Combined"	"0"	199	1258876	157.825
	"Alabama"	"01"	"2011"	"2011"	"I Leukemia"	"10"	56	1258876	44.931
	"Alabama"	"01"	"2011"	"2011"	"I(a) Lymphoid leukemias"	"11"	32	1258876	25.757
	"Alabama"	"01"	"2011"	"2011"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	29	1258876	22.737
	"Alabama"	"01"	"2011"	"2011"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	28	1258876	22.278
	"Alabama"	"01"	"2011"	"2011"	"III(b) Astrocytomas"	"32"	18	1258876	14.162
	"Alabama"	"01"	"2011"	"2011"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	27	1258876	21.005
	"Alabama"	"01"	"2012"	"2012"	"All Childhood Invasive Cancer Sites Combined"	"0"	214	1248482	171.273
	"Alabama"	"01"	"2012"	"2012"	"I Leukemia"	"10"	55	1248482	44.336
	"Alabama"	"01"	"2012"	"2012"	"I(a) Lymphoid leukemias"	"11"	39	1248482	31.630
	"Alabama"	"01"	"2012"	"2012"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	26	1248482	20.652
	"Alabama"	"01"	"2012"	"2012"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	37	1248482	29.783
	"Alabama"	"01"	"2012"	"2012"	"VI Renal tumors"	"60"	17	1248482	13.693
	"Alabama"	"01"	"2012"	"2012"	"IX Soft-tissue sarcomas"	"90"	21	1248482	16.681
	"Alabama"	"01"	"2012"	"2012"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	22	1248482	17.415
	"Alabama"	"01"	"2013"	"2013"	"All Childhood Invasive Cancer Sites Combined"	"0"	217	1239500	174.475
	"Alabama"	"01"	"2013"	"2013"	"I Leukemia"	"10"	55	1239500	44.461
	"Alabama"	"01"	"2013"	"2013"	"I(a) Lymphoid leukemias"	"11"	35	1239500	28.412
	"Alabama"	"01"	"2013"	"2013"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	33	1239500	26.371
	"Alabama"	"01"	"2013"	"2013"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	43	1239500	34.659
	"Alabama"	"01"	"2013"	"2013"	"III(b) Astrocytomas"	"32"	23	1239500	18.439
	"Alabama"	"01"	"2013"	"2013"	"IX Soft-tissue sarcomas"	"90"	16	1239500	12.871
	"Alabama"	"01"	"2013"	"2013"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	27	1239500	21.375
	"Alabama"	"01"	"2014"	"2014"	"All Childhood Invasive Cancer Sites Combined"	"0"	236	1231899	191.267
	"Alabama"	"01"	"2014"	"2014"	"I Leukemia"	"10"	57	1231899	46.565
	"Alabama"	"01"	"2014"	"2014"	"I(a) Lymphoid leukemias"	"11"	36	1231899	29.461
	"Alabama"	"01"	"2014"	"2014"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	40	1231899	32.135
	"Alabama"	"01"	"2014"	"2014"	"II(a) Hodgkin lymphomas"	"21"	20	1231899	15.982
	"Alabama"	"01"	"2014"	"2014"	"II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)"	"22"	16	1231899	12.865
	"Alabama"	"01"	"2014"	"2014"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	42	1231899	34.223
	"Alabama"	"01"	"2014"	"2014"	"III(b) Astrocytomas"	"32"	28	1231899	22.771
	"Alabama"	"01"	"2014"	"2014"	"IV Sympathetic nervous system tumors"	"40"	19	1231899	15.588
	"Alabama"	"01"	"2014"	"2014"	"IV(a) Neuroblastoma and ganglioneuroblastoma"	"41"	19	1231899	15.588
	"Alabama"	"01"	"2014"	"2014"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	22	1231899	17.491
	"Alabama"	"01"	"2015"	"2015"	"All Childhood Invasive Cancer Sites Combined"	"0"	256	1227996	207.884
	"Alabama"	"01"	"2015"	"2015"	"I Leukemia"	"10"	70	1227996	57.094
	"Alabama"	"01"	"2015"	"2015"	"I(a) Lymphoid leukemias"	"11"	34	1227996	27.921
	"Alabama"	"01"	"2015"	"2015"	"I(c) Chronic myeloproliferative diseases"	"13"	23	1227996	18.732
	"Alabama"	"01"	"2015"	"2015"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	24	1227996	19.286
	"Alabama"	"01"	"2015"	"2015"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	44	1227996	36.007
	"Alabama"	"01"	"2015"	"2015"	"III(b) Astrocytomas"	"32"	18	1227996	14.770
	"Alabama"	"01"	"2015"	"2015"	"IV Sympathetic nervous system tumors"	"40"	16	1227996	13.102
	"Alabama"	"01"	"2015"	"2015"	"VI Renal tumors"	"60"	21	1227996	17.141
	"Alabama"	"01"	"2015"	"2015"	"VI(a) Nephroblastoma and other nonepithelial renal tumors"	"61"	17	1227996	13.992
	"Alabama"	"01"	"2015"	"2015"	"IX Soft-tissue sarcomas"	"90"	21	1227996	17.105
	"Alabama"	"01"	"2015"	"2015"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	34	1227996	27.158
	"Alabama"	"01"	"2016"	"2016"	"All Childhood Invasive Cancer Sites Combined"	"0"	280	1225173	227.710
	"Alabama"	"01"	"2016"	"2016"	"I Leukemia"	"10"	88	1225173	72.014
	"Alabama"	"01"	"2016"	"2016"	"I(a) Lymphoid leukemias"	"11"	46	1225173	37.737
	"Alabama"	"01"	"2016"	"2016"	"I(c) Chronic myeloproliferative diseases"	"13"	27	1225173	22.092
	"Alabama"	"01"	"2016"	"2016"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	41	1225173	32.909
	"Alabama"	"01"	"2016"	"2016"	"II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)"	"22"	20	1225173	16.144
	"Alabama"	"01"	"2016"	"2016"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	54	1225173	44.354
	"Alabama"	"01"	"2016"	"2016"	"III(b) Astrocytomas"	"32"	23	1225173	18.825
	"Alabama"	"01"	"2016"	"2016"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	32	1225173	25.500
	"Alabama"	"01"	"2017"	"2017"	"All Childhood Invasive Cancer Sites Combined"	"0"	225	1222085	183.934
	"Alabama"	"01"	"2017"	"2017"	"I Leukemia"	"10"	68	1222085	55.673
	"Alabama"	"01"	"2017"	"2017"	"I(a) Lymphoid leukemias"	"11"	37	1222085	30.317
	"Alabama"	"01"	"2017"	"2017"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	28	1222085	22.834
	"Alabama"	"01"	"2017"	"2017"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	37	1222085	30.380
	"Alabama"	"01"	"2017"	"2017"	"III(b) Astrocytomas"	"32"	19	1222085	15.586
	"Alabama"	"01"	"2017"	"2017"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	22	1222085	17.741
	"Alabama"	"01"	"2018"	"2018"	"All Childhood Invasive Cancer Sites Combined"	"0"	202	1219436	164.891
	"Alabama"	"01"	"2018"	"2018"	"I Leukemia"	"10"	48	1219436	39.375
	"Alabama"	"01"	"2018"	"2018"	"I(a) Lymphoid leukemias"	"11"	38	1219436	31.168
	"Alabama"	"01"	"2018"	"2018"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	25	1219436	20.419
	"Alabama"	"01"	"2018"	"2018"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	35	1219436	28.694
	"Alabama"	"01"	"2018"	"2018"	"III(b) Astrocytomas"	"32"	16	1219436	13.074
	"Alabama"	"01"	"2018"	"2018"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	30	1219436	24.240
	"Alaska"	"02"	"1999"	"1999"	"All Childhood Invasive Cancer Sites Combined"	"0"	25	208726	121.972
	"Alaska"	"02"	"2000"	"2000"	"All Childhood Invasive Cancer Sites Combined"	"0"	29	208054	143.467
	"Alaska"	"02"	"2001"	"2001"	"All Childhood Invasive Cancer Sites Combined"	"0"	27	207943	132.217
	"Alaska"	"02"	"2002"	"2002"	"All Childhood Invasive Cancer Sites Combined"	"0"	44	208485	211.907
	"Alaska"	"02"	"2003"	"2003"	"All Childhood Invasive Cancer Sites Combined"	"0"	34	207363	164.185
	"Alaska"	"02"	"2004"	"2004"	"All Childhood Invasive Cancer Sites Combined"	"0"	34	207317	165.534
	"Alaska"	"02"	"2005"	"2005"	"All Childhood Invasive Cancer Sites Combined"	"0"	30	205778	145.633
	"Alaska"	"02"	"2006"	"2006"	"All Childhood Invasive Cancer Sites Combined"	"0"	36	205868	173.470
	"Alaska"	"02"	"2007"	"2007"	"All Childhood Invasive Cancer Sites Combined"	"0"	34	204645	166.046
	"Alaska"	"02"	"2008"	"2008"	"All Childhood Invasive Cancer Sites Combined"	"0"	36	204039	173.744
	"Alaska"	"02"	"2009"	"2009"	"All Childhood Invasive Cancer Sites Combined"	"0"	36	207358	170.597
	"Alaska"	"02"	"2010"	"2010"	"All Childhood Invasive Cancer Sites Combined"	"0"	45	208382	215.760
	"Alaska"	"02"	"2011"	"2011"	"All Childhood Invasive Cancer Sites Combined"	"0"	47	208350	218.728
	"Alaska"	"02"	"2012"	"2012"	"All Childhood Invasive Cancer Sites Combined"	"0"	42	207367	200.896
	"Alaska"	"02"	"2013"	"2013"	"All Childhood Invasive Cancer Sites Combined"	"0"	36	207019	171.833
	"Alaska"	"02"	"2014"	"2014"	"All Childhood Invasive Cancer Sites Combined"	"0"	27	205058	129.923
	"Alaska"	"02"	"2015"	"2015"	"All Childhood Invasive Cancer Sites Combined"	"0"	37	203730	178.705
	"Alaska"	"02"	"2016"	"2016"	"All Childhood Invasive Cancer Sites Combined"	"0"	28	204238	134.780
	"Alaska"	"02"	"2017"	"2017"	"All Childhood Invasive Cancer Sites Combined"	"0"	39	202695	186.687
	"Alaska"	"02"	"2018"	"2018"	"All Childhood Invasive Cancer Sites Combined"	"0"	38	199836	188.749
	"Arizona"	"04"	"1999"	"1999"	"All Childhood Invasive Cancer Sites Combined"	"0"	212	1480412	142.715
	"Arizona"	"04"	"1999"	"1999"	"I Leukemia"	"10"	63	1480412	42.129
	"Arizona"	"04"	"1999"	"1999"	"I(a) Lymphoid leukemias"	"11"	50	1480412	33.216
	"Arizona"	"04"	"1999"	"1999"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	28	1480412	19.084
	"Arizona"	"04"	"1999"	"1999"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	38	1480412	25.465
	"Arizona"	"04"	"1999"	"1999"	"III(b) Astrocytomas"	"32"	17	1480412	11.457
	"Arizona"	"04"	"1999"	"1999"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	21	1480412	14.458
	"Arizona"	"04"	"2000"	"2000"	"All Childhood Invasive Cancer Sites Combined"	"0"	249	1525842	163.194
	"Arizona"	"04"	"2000"	"2000"	"I Leukemia"	"10"	71	1525842	45.948
	"Arizona"	"04"	"2000"	"2000"	"I(a) Lymphoid leukemias"	"11"	59	1525842	38.066
	"Arizona"	"04"	"2000"	"2000"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	34	1525842	22.449
	"Arizona"	"04"	"2000"	"2000"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	38	1525842	25.012
	"Arizona"	"04"	"2000"	"2000"	"III(b) Astrocytomas"	"32"	16	1525842	10.567
	"Arizona"	"04"	"2000"	"2000"	"IX Soft-tissue sarcomas"	"90"	19	1525842	12.459
	"Arizona"	"04"	"2000"	"2000"	"X Germ-cell, trophoblastic and other gonadal neoplasms"	"100"	17	1525842	11.420
	"Arizona"	"04"	"2000"	"2000"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	27	1525842	18.209
	"Arizona"	"04"	"2001"	"2001"	"All Childhood Invasive Cancer Sites Combined"	"0"	265	1546638	170.774
	"Arizona"	"04"	"2001"	"2001"	"I Leukemia"	"10"	86	1546638	54.630
	"Arizona"	"04"	"2001"	"2001"	"I(a) Lymphoid leukemias"	"11"	69	1546638	43.911
	"Arizona"	"04"	"2001"	"2001"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	36	1546638	23.829
	"Arizona"	"04"	"2001"	"2001"	"II(a) Hodgkin lymphomas"	"21"	20	1546638	13.399
	"Arizona"	"04"	"2001"	"2001"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	45	1546638	29.030
	"Arizona"	"04"	"2001"	"2001"	"III(b) Astrocytomas"	"32"	20	1546638	12.808
	"Arizona"	"04"	"2001"	"2001"	"IX Soft-tissue sarcomas"	"90"	16	1546638	10.534
	"Arizona"	"04"	"2001"	"2001"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	22	1546638	14.808
	"Arizona"	"04"	"2002"	"2002"	"All Childhood Invasive Cancer Sites Combined"	"0"	276	1575649	174.646
	"Arizona"	"04"	"2002"	"2002"	"I Leukemia"	"10"	84	1575649	52.721
	"Arizona"	"04"	"2002"	"2002"	"I(a) Lymphoid leukemias"	"11"	69	1575649	43.260
	"Arizona"	"04"	"2002"	"2002"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	34	1575649	21.778
	"Arizona"	"04"	"2002"	"2002"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	46	1575649	28.857
	"Arizona"	"04"	"2002"	"2002"	"III(b) Astrocytomas"	"32"	24	1575649	15.160
	"Arizona"	"04"	"2002"	"2002"	"IV Sympathetic nervous system tumors"	"40"	16	1575649	9.489
	"Arizona"	"04"	"2002"	"2002"	"IV(a) Neuroblastoma and ganglioneuroblastoma"	"41"	16	1575649	9.489
	"Arizona"	"04"	"2002"	"2002"	"IX Soft-tissue sarcomas"	"90"	18	1575649	11.661
	"Arizona"	"04"	"2002"	"2002"	"X Germ-cell, trophoblastic and other gonadal neoplasms"	"100"	16	1575649	10.438
	"Arizona"	"04"	"2002"	"2002"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	35	1575649	22.955
	"Arizona"	"04"	"2002"	"2002"	"XI(d) Malignant melanomas"	"114"	16	1575649	10.592
	"Arizona"	"04"	"2003"	"2003"	"All Childhood Invasive Cancer Sites Combined"	"0"	243	1606325	150.335
	"Arizona"	"04"	"2003"	"2003"	"I Leukemia"	"10"	71	1606325	43.256
	"Arizona"	"04"	"2003"	"2003"	"I(a) Lymphoid leukemias"	"11"	54	1606325	33.080
	"Arizona"	"04"	"2003"	"2003"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	31	1606325	19.657
	"Arizona"	"04"	"2003"	"2003"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	46	1606325	28.308
	"Arizona"	"04"	"2003"	"2003"	"III(c) Intracranial and intraspinal embryonal tumors"	"33"	18	1606325	11.061
	"Arizona"	"04"	"2003"	"2003"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	31	1606325	19.814
	"Arizona"	"04"	"2004"	"2004"	"All Childhood Invasive Cancer Sites Combined"	"0"	277	1643951	166.206
	"Arizona"	"04"	"2004"	"2004"	"I Leukemia"	"10"	76	1643951	45.069
	"Arizona"	"04"	"2004"	"2004"	"I(a) Lymphoid leukemias"	"11"	55	1643951	32.658
	"Arizona"	"04"	"2004"	"2004"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	24	1643951	14.856
	"Arizona"	"04"	"2004"	"2004"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	67	1643951	40.771
	"Arizona"	"04"	"2004"	"2004"	"III(b) Astrocytomas"	"32"	42	1643951	25.594
	"Arizona"	"04"	"2004"	"2004"	"VIII Malignant bone tumors"	"80"	16	1643951	9.897
	"Arizona"	"04"	"2004"	"2004"	"X Germ-cell, trophoblastic and other gonadal neoplasms"	"100"	21	1643951	12.462
	"Arizona"	"04"	"2004"	"2004"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	28	1643951	17.288
	"Arizona"	"04"	"2005"	"2005"	"All Childhood Invasive Cancer Sites Combined"	"0"	302	1693743	175.522
	"Arizona"	"04"	"2005"	"2005"	"I Leukemia"	"10"	92	1693743	52.955
	"Arizona"	"04"	"2005"	"2005"	"I(a) Lymphoid leukemias"	"11"	66	1693743	37.938
	"Arizona"	"04"	"2005"	"2005"	"I(b) Acute myeloid leukemias"	"12"	18	1693743	10.271
	"Arizona"	"04"	"2005"	"2005"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	34	1693743	20.192
	"Arizona"	"04"	"2005"	"2005"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	68	1693743	39.772
	"Arizona"	"04"	"2005"	"2005"	"III(b) Astrocytomas"	"32"	34	1693743	19.698
	"Arizona"	"04"	"2005"	"2005"	"III(c) Intracranial and intraspinal embryonal tumors"	"33"	17	1693743	10.073
	"Arizona"	"04"	"2005"	"2005"	"VIII Malignant bone tumors"	"80"	17	1693743	10.336
	"Arizona"	"04"	"2005"	"2005"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	26	1693743	15.674
