"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Mortality-Incidence Age-Adjusted Rate Ratio	Death Counts	Mortality Population	Incidence Counts	Incidence Population
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2017"	"2017"	0.763	272	4874486	335	4874486
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2018"	"2018"	0.696	298	4887681	398	4887681
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"1999"	"1999"	0.566	19	624779	35	624779
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2001"	"2001"	0.619	22	633714	36	633714
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2002"	"2002"	0.622	20	642337	37	642337
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2003"	"2003"	0.761	19	648414	31	648414
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2004"	"2004"	0.580	24	659286	41	659286
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2005"	"2005"	0.556	21	666946	38	666946
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2006"	"2006"	0.853	19	675302	28	675302
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2007"	"2007"	0.643	20	680300	41	680300
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2008"	"2008"	0.539	26	687455	45	687455
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2009"	"2009"	0.511	25	698895	56	698895
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2010"	"2010"	0.417	24	713910	71	713910
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2011"	"2011"	0.942	39	722128	42	722128
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2012"	"2012"	0.656	27	730443	43	730443
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2013"	"2013"	0.979	30	737068	37	737068
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2014"	"2014"	0.477	22	736283	41	736283
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2015"	"2015"	0.480	23	737498	53	737498
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2016"	"2016"	0.676	39	741456	57	741456
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2017"	"2017"	0.713	33	739700	49	739700
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2018"	"2018"	0.897	35	735139	42	735139
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"1999"	"1999"	0.654	226	5023823	346	5023823
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2000"	"2000"	0.683	220	5160586	324	5160586
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2001"	"2001"	0.647	218	5273477	338	5273477
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2002"	"2002"	0.597	215	5396255	361	5396255
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2003"	"2003"	0.667	222	5510364	335	5510364
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2004"	"2004"	0.549	227	5652404	411	5652404
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2005"	"2005"	0.668	279	5839077	418	5839077
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2006"	"2006"	0.569	252	6029141	438	6029141
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2007"	"2007"	0.584	254	6167681	426	6167681
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2008"	"2008"	0.576	273	6280362	460	6280362
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2009"	"2009"	0.599	278	6343154	464	6343154
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2010"	"2010"	0.569	275	6407172	468	6407172
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2011"	"2011"	0.577	278	6472643	468	6472643
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	0.706	340	6554978	472	6554978
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2013"	"2013"	0.692	329	6632764	461	6632764
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2014"	"2014"	0.732	360	6730413	479	6730413
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2015"	"2015"	0.700	332	6829676	447	6829676
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2016"	"2016"	0.697	343	6941072	466	6941072
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2017"	"2017"	0.723	344	7044008	458	7044008
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2018"	"2018"	0.740	366	7158024	458	7158024
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2001"	"2001"	0.891	140	2691571	151	2691571
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2002"	"2002"	1.013 (Unreliable)	154	2705927	150	2705927
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2003"	"2003"	0.768	148	2724816	186	2724816
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2004"	"2004"	0.782	147	2749686	183	2749686
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2005"	"2005"	0.744	146	2781097	188	2781097
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2006"	"2006"	0.634	134	2821761	204	2821761
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2007"	"2007"	0.750	173	2848650	223	2848650
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2008"	"2008"	0.744	158	2874554	207	2874554
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2009"	"2009"	0.743	164	2896843	207	2896843
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2010"	"2010"	0.712	157	2921964	213	2921964
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2011"	"2011"	0.718	157	2940667	206	2940667
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2012"	"2012"	0.767	175	2952164	223	2952164
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2013"	"2013"	0.677	168	2959400	235	2959400
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2014"	"2014"	0.608	168	2967392	256	2967392
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2015"	"2015"	0.878	197	2978048	216	2978048
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2016"	"2016"	0.772	181	2989918	222	2989918
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2017"	"2017"	0.695	159	3001345	215	3001345
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2018"	"2018"	0.632	162	3009733	235	3009733
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"1999"	"1999"	0.733	1442	33499204	2049	33499204
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2000"	"2000"	0.731	1380	33987977	1962	33987977
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2001"	"2001"	0.702	1361	34479458	2001	34479458
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2002"	"2002"	0.692	1409	34871843	2106	34871843
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2003"	"2003"	0.670	1413	35253159	2166	35253159
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2004"	"2004"	0.665	1388	35574576	2150	35574576
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2005"	"2005"	0.697	1476	35827943	2152	35827943
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2006"	"2006"	0.692	1421	36021202	2096	36021202
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2007"	"2007"	0.671	1481	36250311	2244	36250311
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2008"	"2008"	0.684	1513	36604337	2228	36604337
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2009"	"2009"	0.684	1566	36961229	2312	36961229
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2010"	"2010"	0.667	1528	37319502	2317	37319502
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2011"	"2011"	0.712	1622	37638369	2271	37638369
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	0.732	1714	37948800	2327	37948800
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	0.694	1709	38260787	2443	38260787
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2014"	"2014"	0.711	1749	38596972	2433	38596972
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2015"	"2015"	0.727	1826	38918045	2449	38918045
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2016"	"2016"	0.778	1887	39167117	2397	39167117
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	0.702	1801	39358497	2473	39358497
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2018"	"2018"	0.782	1958	39461588	2418	39461588
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"1999"	"1999"	0.658	163	4226018	265	4226018
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2000"	"2000"	0.631	167	4326921	275	4326921
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2001"	"2001"	0.588	172	4425687	307	4425687
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2002"	"2002"	0.647	174	4490406	278	4490406
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2003"	"2003"	0.768	206	4528732	276	4528732
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2004"	"2004"	0.613	176	4575013	298	4575013
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2005"	"2005"	0.581	186	4631888	321	4631888
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2006"	"2006"	0.640	199	4720423	312	4720423
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2007"	"2007"	0.687	208	4803868	312	4803868
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2008"	"2008"	0.616	207	4889730	340	4889730
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2009"	"2009"	0.606	216	4972195	365	4972195
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2010"	"2010"	0.680	226	5047349	336	5047349
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2011"	"2011"	0.612	214	5121108	351	5121108
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2012"	"2012"	0.707	243	5192647	343	5192647
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2013"	"2013"	0.787	256	5269035	321	5269035
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2014"	"2014"	0.619	243	5350101	382	5350101
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2015"	"2015"	0.596	238	5450623	391	5450623
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2016"	"2016"	0.753	275	5539215	351	5539215
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2017"	"2017"	0.619	267	5611885	408	5611885
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2018"	"2018"	0.691	258	5691287	372	5691287
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"1999"	"1999"	0.602	157	3386401	254	3386401
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2000"	"2000"	0.557	165	3411777	292	3411777
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2001"	"2001"	0.542	151	3432835	269	3432835
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2002"	"2002"	0.566	146	3458749	249	3458749
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2003"	"2003"	0.549	153	3484336	271	3484336
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2004"	"2004"	0.547	155	3496094	273	3496094
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2005"	"2005"	0.608	166	3506956	264	3506956
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2006"	"2006"	0.565	154	3517460	264	3517460
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2007"	"2007"	0.589	154	3527270	255	3527270
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2008"	"2008"	0.508	153	3545579	285	3545579
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2009"	"2009"	0.623	182	3561807	287	3561807
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2010"	"2010"	0.666	199	3579114	277	3579114
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2011"	"2011"	0.563	171	3588283	285	3588283
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2012"	"2012"	0.605	168	3594547	260	3594547
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2013"	"2013"	0.468	155	3594841	305	3594841
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2014"	"2014"	0.745	189	3594524	240	3594524
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2015"	"2015"	0.662	212	3587122	305	3587122
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2016"	"2016"	0.651	203	3578141	288	3578141
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2017"	"2017"	0.642	186	3573297	280	3573297
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2018"	"2018"	0.578	196	3571520	314	3571520
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"1999"	"1999"	0.619	36	774990	59	774990
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2000"	"2000"	0.825	39	786373	47	786373
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2001"	"2001"	0.667	46	795699	68	795699
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2002"	"2002"	0.823	40	806169	48	806169
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2003"	"2003"	0.767	34	818003	43	818003
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2004"	"2004"	0.470	33	830803	69	830803
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2005"	"2005"	0.579	39	845150	68	845150
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2006"	"2006"	0.664	46	859268	66	859268
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2007"	"2007"	0.536	35	871749	63	871749
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2008"	"2008"	0.637	50	883874	76	883874
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2009"	"2009"	0.631	42	891730	68	891730
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2010"	"2010"	0.443	30	899593	59	899593
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2011"	"2011"	0.617	45	907381	69	907381
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2012"	"2012"	0.690	47	915179	68	915179
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2013"	"2013"	0.716	53	923576	68	923576
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2014"	"2014"	0.615	43	932487	66	932487
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2015"	"2015"	0.587	38	941252	60	941252
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2016"	"2016"	0.788	67	948921	77	948921
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2017"	"2017"	0.586	51	956823	77	956823
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2018"	"2018"	0.606	47	965479	70	965479
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2000"	"2000"	0.506	18	572046	35	572046
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2001"	"2001"	0.671	22	574504	34	574504
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2002"	"2002"	0.663	17	573158	26	573158
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2003"	"2003"	0.544	16	568502	29	568502
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2004"	"2004"	0.589	18	567754	31	567754
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2005"	"2005"	0.491	17	567136	39	567136
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2006"	"2006"	0.648	21	570681	34	570681
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2008"	"2008"	0.594	24	580236	40	580236
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2009"	"2009"	0.700	26	592228	36	592228
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2010"	"2010"	0.464	19	605226	40	605226
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2011"	"2011"	0.490	16	619800	33	619800
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2012"	"2012"	0.482	18	634924	41	634924
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2013"	"2013"	0.406	18	650581	42	650581
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2014"	"2014"	0.497	18	662328	37	662328
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2017"	"2017"	0.553	18	694906	30	694906
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2018"	"2018"	0.687	30	701547	43	701547
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"1999"	"1999"	0.589	773	15759421	1231	15759421
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2000"	"2000"	0.619	907	16047515	1373	16047515
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2001"	"2001"	0.655	902	16356966	1291	16356966
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2002"	"2002"	0.598	858	16689370	1346	16689370
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2003"	"2003"	0.565	818	17004085	1339	17004085
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2004"	"2004"	0.541	840	17415318	1425	17415318
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2005"	"2005"	0.566	889	17842038	1473	17842038
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2006"	"2006"	0.569	860	18166990	1397	18166990
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2007"	"2007"	0.556	851	18367842	1425	18367842
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2008"	"2008"	0.558	867	18527305	1417	18527305
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2009"	"2009"	0.554	918	18652644	1515	18652644
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2010"	"2010"	0.596	974	18845537	1501	18845537
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2011"	"2011"	0.616	1011	19053237	1483	19053237
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2012"	"2012"	0.675	1080	19297822	1467	19297822
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2013"	"2013"	0.595	1022	19545621	1559	19545621
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2014"	"2014"	0.660	1114	19845911	1528	19845911
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2015"	"2015"	0.656	1181	20209042	1612	20209042
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2016"	"2016"	0.608	1094	20613477	1631	20613477
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	0.674	1224	20963613	1608	20963613
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2018"	"2018"	0.618	1201	21244317	1741	21244317
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"1999"	"1999"	0.649	288	8045965	465	8045965
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2000"	"2000"	0.662	294	8227303	463	8227303
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2001"	"2001"	0.588	285	8377038	499	8377038
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2002"	"2002"	0.661	318	8508256	511	8508256
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2003"	"2003"	0.622	299	8622793	507	8622793
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2004"	"2004"	0.539	285	8769252	542	8769252
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2005"	"2005"	0.583	312	8925922	549	8925922
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2006"	"2006"	0.602	319	9155813	542	9155813
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2007"	"2007"	0.594	327	9349988	578	9349988
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2008"	"2008"	0.631	362	9504843	594	9504843
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2009"	"2009"	0.613	351	9620846	598	9620846
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2010"	"2010"	0.646	371	9711881	588	9711881
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2011"	"2011"	0.690	407	9802431	596	9802431
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2012"	"2012"	0.613	395	9901430	641	9901430
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2013"	"2013"	0.652	418	9972479	635	9972479
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2014"	"2014"	0.752	480	10067278	625	10067278
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2015"	"2015"	0.678	446	10178447	658	10178447
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2016"	"2016"	0.704	473	10301890	647	10301890
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2017"	"2017"	0.727	458	10410330	623	10410330
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2018"	"2018"	0.761	501	10511131	632	10511131
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"1999"	"1999"	0.560	30	1210300	53	1210300
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2000"	"2000"	0.574	35	1213519	61	1213519
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2001"	"2001"	0.469	33	1225948	68	1225948
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2002"	"2002"	0.684	39	1239613	56	1239613
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2003"	"2003"	0.918	50	1251154	53	1251154
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2004"	"2004"	0.595	34	1273569	56	1273569
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2005"	"2005"	0.698	35	1292729	49	1292729
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2006"	"2006"	0.501	30	1309731	58	1309731
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2007"	"2007"	0.485	30	1315675	57	1315675
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2008"	"2008"	0.442	30	1332213	62	1332213
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2009"	"2009"	0.591	46	1346717	72	1346717
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2010"	"2010"	0.568	37	1363963	60	1363963
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2011"	"2011"	0.710	36	1379329	47	1379329
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2012"	"2012"	0.574	44	1394804	70	1394804
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2013"	"2013"	0.623	48	1408243	72	1408243
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2014"	"2014"	0.712	48	1414538	61	1414538
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2015"	"2015"	0.600	43	1422052	65	1422052
