"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Age-Adjusted Rate
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"North Dakota"	"38"	39	644259	5.821
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Ohio"	"39"	555	11335454	4.772
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Oklahoma"	"40"	166	3437147	4.757
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Oregon"	"41"	155	3393941	4.502
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Pennsylvania"	"42"	619	12263805	4.521
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Rhode Island"	"44"	65	1040402	5.799
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"South Carolina"	"45"	217	3974682	5.539
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"South Dakota"	"46"	61	750412	7.761
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Tennessee"	"47"	281	5638706	4.969
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Texas"	"48"	847	20558220	4.796
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Utah"	"49"	85	2203482	5.208
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Vermont"	"50"	23	604683	3.709
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Virginia"	"51"	286	7000174	4.260
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Washington"	"53"	336	5842564	6.068
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"West Virginia"	"54"	90	1811799	4.345
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Wisconsin"	"55"	253	5332666	4.700
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Wyoming"	"56"	29	491780	6.039
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Alabama"	"01"	217	4452173	4.756
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Arizona"	"04"	220	5160586	4.273
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Arkansas"	"05"	161	2678588	5.620
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"California"	"06"	1380	33987977	4.530
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Colorado"	"08"	167	4326921	4.369
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Connecticut"	"09"	165	3411777	4.573
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Delaware"	"10"	39	786373	4.821
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"District of Columbia"	"11"	18	572046	3.207
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Florida"	"12"	907	16047515	4.700
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Georgia"	"13"	294	8227303	4.089
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Hawaii"	"15"	35	1213519	2.836
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Idaho"	"16"	67	1299430	5.540
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Illinois"	"17"	502	12434161	4.175
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Indiana"	"18"	269	6091866	4.462
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Iowa"	"19"	148	2929067	4.673
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Kansas"	"20"	127	2693681	4.610
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Kentucky"	"21"	190	4049021	4.682
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Louisiana"	"22"	164	4471885	3.866
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Maine"	"23"	71	1277072	4.998
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Maryland"	"24"	207	5311034	3.975
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Massachusetts"	"25"	310	6361104	4.704
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Michigan"	"26"	499	9952450	5.067
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Minnesota"	"27"	261	4933692	5.433
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Mississippi"	"28"	159	2848353	5.788
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Missouri"	"29"	286	5607285	4.941
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Montana"	"30"	53	903773	5.613
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Nebraska"	"31"	101	1713820	5.775
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Nevada"	"32"	85	2018741	4.554
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"New Hampshire"	"33"	57	1239882	4.585
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"New Jersey"	"34"	339	8430621	3.877
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"New Mexico"	"35"	57	1821204	3.260
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"New York"	"36"	712	19001780	3.682
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"North Carolina"	"37"	378	8081614	4.760
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"North Dakota"	"38"	24	642023	3.560
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Ohio"	"39"	518	11363543	4.425
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Oklahoma"	"40"	184	3454365	5.221
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Oregon"	"41"	171	3429708	4.846
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Pennsylvania"	"42"	574	12284173	4.174
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Rhode Island"	"44"	66	1050268	5.793
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"South Carolina"	"45"	199	4024223	5.009
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"South Dakota"	"46"	46	755844	5.758
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Tennessee"	"47"	292	5703719	5.096
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Texas"	"48"	844	20944499	4.673
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Utah"	"49"	82	2244502	4.835
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Vermont"	"50"	26	609618	4.130
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Virginia"	"51"	279	7105817	4.105
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Washington"	"53"	322	5910512	5.753
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"West Virginia"	"54"	75	1807021	3.628
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Wisconsin"	"55"	269	5373999	4.944
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Wyoming"	"56"	26	494300	5.243
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Alabama"	"01"	203	4467634	4.409
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Alaska"	"02"	22	633714	4.528
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Arizona"	"04"	218	5273477	4.156
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Arkansas"	"05"	140	2691571	4.829
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"California"	"06"	1361	34479458	4.362
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Colorado"	"08"	172	4425687	4.413
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Connecticut"	"09"	151	3432835	4.064
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Delaware"	"10"	46	795699	5.641
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"District of Columbia"	"11"	22	574504	4.016
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Florida"	"12"	902	16356966	4.581
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Georgia"	"13"	285	8377038	3.865
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Hawaii"	"15"	33	1225948	2.576
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Idaho"	"16"	63	1319962	5.090
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Illinois"	"17"	553	12488445	4.555
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Indiana"	"18"	291	6127760	4.772
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Iowa"	"19"	163	2931997	5.124
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Kansas"	"20"	141	2702162	5.199
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Kentucky"	"21"	203	4068132	4.924
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Louisiana"	"22"	199	4477875	4.695
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Maine"	"23"	69	1285692	4.895
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Maryland"	"24"	222	5374691	4.220
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Massachusetts"	"25"	267	6397634	3.993
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Michigan"	"26"	478	9991120	4.807
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Minnesota"	"27"	249	4982796	5.115
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Mississippi"	"28"	143	2852994	5.182
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Missouri"	"29"	265	5641142	4.512
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Montana"	"30"	40	906961	4.272
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Nebraska"	"31"	86	1719836	4.844
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Nevada"	"32"	71	2098399	3.538
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"New Hampshire"	"33"	63	1255517	4.991
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"New Jersey"	"34"	326	8492671	3.711
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"New Mexico"	"35"	71	1831690	3.961
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"New York"	"36"	709	19082838	3.638
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"North Carolina"	"37"	346	8210122	4.271
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"North Dakota"	"38"	41	639062	6.130
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Ohio"	"39"	530	11387404	4.492
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Oklahoma"	"40"	164	3467100	4.592
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Oregon"	"41"	174	3467937	4.895
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Pennsylvania"	"42"	614	12298970	4.385
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Rhode Island"	"44"	44	1057142	3.930
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"South Carolina"	"45"	160	4064995	3.923
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"South Dakota"	"46"	39	757972	4.887
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Tennessee"	"47"	298	5750789	5.147
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Texas"	"48"	867	21319622	4.706
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Utah"	"49"	72	2283715	4.078
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Vermont"	"50"	26	612223	4.067
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Virginia"	"51"	300	7198362	4.272
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Washington"	"53"	331	5985722	5.742
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"West Virginia"	"54"	95	1801481	4.600
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Wisconsin"	"55"	262	5406835	4.732
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Wyoming"	"56"	19	494657	3.924
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Alabama"	"01"	219	4480089	4.676
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Alaska"	"02"	20	642337	3.949
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Arizona"	"04"	215	5396255	3.982
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Arkansas"	"05"	154	2705927	5.369
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"California"	"06"	1409	34871843	4.447
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Colorado"	"08"	174	4490406	4.321
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Connecticut"	"09"	146	3458749	3.956
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Delaware"	"10"	40	806169	4.836
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"District of Columbia"	"11"	17	573158	3.083
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Florida"	"12"	858	16689370	4.299
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Georgia"	"13"	318	8508256	4.321
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Hawaii"	"15"	39	1239613	2.990
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Idaho"	"16"	59	1340372	4.688
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Illinois"	"17"	467	12525556	3.803
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Indiana"	"18"	302	6155967	4.886
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Iowa"	"19"	162	2934234	5.105
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Kansas"	"20"	155	2713535	5.573
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Kentucky"	"21"	194	4089875	4.683
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Louisiana"	"22"	179	4497267	4.125
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Maine"	"23"	77	1295960	5.427
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Maryland"	"24"	207	5440389	3.893
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Massachusetts"	"25"	288	6417206	4.277
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Michigan"	"26"	487	10015710	4.824
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Minnesota"	"27"	234	5018935	4.740
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Mississippi"	"28"	149	2858681	5.355
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Missouri"	"29"	267	5674825	4.493
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Montana"	"30"	46	911667	4.618
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Nebraska"	"31"	89	1728292	4.993
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Nevada"	"32"	79	2173791	3.883
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"New Hampshire"	"33"	71	1269089	5.530
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"New Jersey"	"34"	323	8552643	3.620
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"New Mexico"	"35"	62	1855309	3.389
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"New York"	"36"	761	19137800	3.866
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"North Carolina"	"37"	381	8326201	4.618
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"North Dakota"	"38"	38	638168	5.355
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Ohio"	"39"	542	11407889	4.552
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Oklahoma"	"40"	186	3489080	5.156
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Oregon"	"41"	223	3513424	6.055
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Pennsylvania"	"42"	565	12331031	4.054
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Rhode Island"	"44"	58	1065995	5.079
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"South Carolina"	"45"	198	4107795	4.770
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"South Dakota"	"46"	46	760020	5.610
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Tennessee"	"47"	341	5795918	5.766
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Texas"	"48"	896	21690325	4.736
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Utah"	"49"	86	2324815	4.752
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Vermont"	"50"	31	615442	4.744
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Virginia"	"51"	265	7286873	3.729
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Washington"	"53"	323	6052349	5.558
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"West Virginia"	"54"	100	1805414	4.808
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Wisconsin"	"55"	267	5445162	4.756
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Wyoming"	"56"	17	500017	3.441
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Alabama"	"01"	204	4503491	4.306
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Alaska"	"02"	19	648414	4.495
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Arizona"	"04"	222	5510364	4.015
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Arkansas"	"05"	148	2724816	5.074
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"California"	"06"	1413	35253159	4.363
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Colorado"	"08"	206	4528732	4.973
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Connecticut"	"09"	153	3484336	4.083
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Delaware"	"10"	34	818003	3.935
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"District of Columbia"	"11"	16	568502	2.869
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Florida"	"12"	818	17004085	3.960
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Georgia"	"13"	299	8622793	3.910
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Hawaii"	"15"	50	1251154	3.715
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Idaho"	"16"	82	1363380	6.275
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Illinois"	"17"	501	12556006	4.047
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Indiana"	"18"	299	6196638	4.807
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Iowa"	"19"	181	2941999	5.595
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Kansas"	"20"	144	2723004	5.193
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Kentucky"	"21"	208	4117170	4.898
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Louisiana"	"22"	214	4521042	4.871
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Maine"	"23"	68	1306513	4.540
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Maryland"	"24"	234	5496269	4.291
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Massachusetts"	"25"	292	6422565	4.292
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Michigan"	"26"	476	10041152	4.665
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Minnesota"	"27"	240	5053572	4.757
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Mississippi"	"28"	142	2868312	5.014
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Missouri"	"29"	268	5709403	4.472
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Montana"	"30"	55	919630	5.567
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Nebraska"	"31"	82	1738643	4.456
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Nevada"	"32"	98	2248850	4.611
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"New Hampshire"	"33"	53	1279840	4.055
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"New Jersey"	"34"	313	8601402	3.483
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"New Mexico"	"35"	73	1877574	3.899
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"New York"	"36"	707	19175939	3.563
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"North Carolina"	"37"	392	8422501	4.605
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"North Dakota"	"38"	27	638817	3.922
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Ohio"	"39"	544	11434788	4.501
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Oklahoma"	"40"	190	3504892	5.231
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Oregon"	"41"	199	3547376	5.367
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Pennsylvania"	"42"	596	12374658	4.223
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Rhode Island"	"44"	60	1071342	5.124
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"South Carolina"	"45"	191	4150297	4.511
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"South Dakota"	"46"	51	763729	6.242
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Tennessee"	"47"	346	5847812	5.783
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Texas"	"48"	872	22030931	4.506
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Utah"	"49"	86	2360137	4.686
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Vermont"	"50"	30	617858	4.506
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Virginia"	"51"	276	7366977	3.803
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Washington"	"53"	342	6104115	5.761
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"West Virginia"	"54"	89	1812295	4.257
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Wisconsin"	"55"	269	5479203	4.746
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Wyoming"	"56"	29	503453	5.572
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Alabama"	"01"	215	4530729	4.520
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Alaska"	"02"	24	659286	4.418
