"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Cancer Sites"	"Cancer Sites Code"	Count	Population	Age-Adjusted Rate
	"Alabama"	"01"	"2016"	"2016"	"Respiratory System"	"22010-22060"	4333	4863525	69.610
	"Alabama"	"01"	"2016"	"2016"	"Lung and Bronchus"	"22030"	4027	4863525	64.732
	"Alabama"	"01"	"2016"	"2016"	"Brain and Other Nervous System"	"31010-31040"	351	4863525	6.346
	"Alabama"	"01"	"2016"	"2016"	"Brain"	"31010"	327	4863525	5.895
	"Alabama"	"01"	"2016"	"2016"	"Cranial Nerves Other Nervous System"	"31040"	24	4863525	0.451
	"Alabama"	"01"	"2017"	"2017"	"Respiratory System"	"22010-22060"	4277	4874486	67.401
	"Alabama"	"01"	"2017"	"2017"	"Lung and Bronchus"	"22030"	3963	4874486	62.340
	"Alabama"	"01"	"2017"	"2017"	"Brain and Other Nervous System"	"31010-31040"	335	4874486	5.896
	"Alabama"	"01"	"2017"	"2017"	"Brain"	"31010"	315	4874486	5.508
	"Alabama"	"01"	"2017"	"2017"	"Cranial Nerves Other Nervous System"	"31040"	20	4874486	0.388
	"Alabama"	"01"	"2018"	"2018"	"Respiratory System"	"22010-22060"	4251	4887681	65.576
	"Alabama"	"01"	"2018"	"2018"	"Lung and Bronchus"	"22030"	3959	4887681	61.094
	"Alabama"	"01"	"2018"	"2018"	"Brain and Other Nervous System"	"31010-31040"	398	4887681	7.062
	"Alabama"	"01"	"2018"	"2018"	"Brain"	"31010"	380	4887681	6.700
	"Alabama"	"01"	"2018"	"2018"	"Cranial Nerves Other Nervous System"	"31040"	18	4887681	0.363
	"Alaska"	"02"	"1999"	"1999"	"Respiratory System"	"22010-22060"	298	624779	84.609
	"Alaska"	"02"	"1999"	"1999"	"Lung and Bronchus"	"22030"	275	624779	79.208
	"Alaska"	"02"	"1999"	"1999"	"Brain and Other Nervous System"	"31010-31040"	35	624779	7.538
	"Alaska"	"02"	"1999"	"1999"	"Brain"	"31010"	34	624779	7.391
	"Alaska"	"02"	"2000"	"2000"	"Respiratory System"	"22010-22060"	277	627963	76.637
	"Alaska"	"02"	"2000"	"2000"	"Lung and Bronchus"	"22030"	260	627963	72.050
	"Alaska"	"02"	"2000"	"2000"	"Brain and Other Nervous System"	"31010-31040"	31	627963	5.893
	"Alaska"	"02"	"2000"	"2000"	"Brain"	"31010"	30	627963	5.624
	"Alaska"	"02"	"2001"	"2001"	"Respiratory System"	"22010-22060"	304	633714	78.955
	"Alaska"	"02"	"2001"	"2001"	"Lung and Bronchus"	"22030"	282	633714	74.223
	"Alaska"	"02"	"2001"	"2001"	"Brain and Other Nervous System"	"31010-31040"	36	633714	7.321
	"Alaska"	"02"	"2001"	"2001"	"Brain"	"31010"	33	633714	6.733
	"Alaska"	"02"	"2002"	"2002"	"Respiratory System"	"22010-22060"	306	642337	76.000
	"Alaska"	"02"	"2002"	"2002"	"Lung and Bronchus"	"22030"	289	642337	72.404
	"Alaska"	"02"	"2002"	"2002"	"Brain and Other Nervous System"	"31010-31040"	37	642337	6.345
	"Alaska"	"02"	"2002"	"2002"	"Brain"	"31010"	35	642337	6.061
	"Alaska"	"02"	"2003"	"2003"	"Respiratory System"	"22010-22060"	322	648414	81.184
	"Alaska"	"02"	"2003"	"2003"	"Lung and Bronchus"	"22030"	299	648414	76.555
	"Alaska"	"02"	"2003"	"2003"	"Brain and Other Nervous System"	"31010-31040"	31	648414	5.903
	"Alaska"	"02"	"2003"	"2003"	"Brain"	"31010"	28	648414	5.438
	"Alaska"	"02"	"2004"	"2004"	"Respiratory System"	"22010-22060"	347	659286	83.044
	"Alaska"	"02"	"2004"	"2004"	"Lung and Bronchus"	"22030"	328	659286	79.080
	"Alaska"	"02"	"2004"	"2004"	"Brain and Other Nervous System"	"31010-31040"	41	659286	7.612
	"Alaska"	"02"	"2004"	"2004"	"Brain"	"31010"	36	659286	6.856
	"Alaska"	"02"	"2005"	"2005"	"Respiratory System"	"22010-22060"	356	666946	82.763
	"Alaska"	"02"	"2005"	"2005"	"Lung and Bronchus"	"22030"	337	666946	79.224
	"Alaska"	"02"	"2005"	"2005"	"Brain and Other Nervous System"	"31010-31040"	38	666946	7.077
	"Alaska"	"02"	"2005"	"2005"	"Brain"	"31010"	36	666946	6.806
	"Alaska"	"02"	"2006"	"2006"	"Respiratory System"	"22010-22060"	380	675302	82.254
	"Alaska"	"02"	"2006"	"2006"	"Lung and Bronchus"	"22030"	351	675302	76.460
	"Alaska"	"02"	"2006"	"2006"	"Brain and Other Nervous System"	"31010-31040"	28	675302	5.012
	"Alaska"	"02"	"2006"	"2006"	"Brain"	"31010"	26	675302	4.780
	"Alaska"	"02"	"2007"	"2007"	"Respiratory System"	"22010-22060"	363	680300	73.984
	"Alaska"	"02"	"2007"	"2007"	"Lung and Bronchus"	"22030"	330	680300	68.687
	"Alaska"	"02"	"2007"	"2007"	"Brain and Other Nervous System"	"31010-31040"	41	680300	6.403
	"Alaska"	"02"	"2007"	"2007"	"Brain"	"31010"	37	680300	5.727
	"Alaska"	"02"	"2008"	"2008"	"Respiratory System"	"22010-22060"	372	687455	75.608
	"Alaska"	"02"	"2008"	"2008"	"Lung and Bronchus"	"22030"	348	687455	71.425
	"Alaska"	"02"	"2008"	"2008"	"Brain and Other Nervous System"	"31010-31040"	45	687455	7.323
	"Alaska"	"02"	"2008"	"2008"	"Brain"	"31010"	42	687455	6.823
	"Alaska"	"02"	"2009"	"2009"	"Respiratory System"	"22010-22060"	389	698895	76.845
	"Alaska"	"02"	"2009"	"2009"	"Lung and Bronchus"	"22030"	368	698895	72.873
	"Alaska"	"02"	"2009"	"2009"	"Brain and Other Nervous System"	"31010-31040"	56	698895	9.173
	"Alaska"	"02"	"2009"	"2009"	"Brain"	"31010"	50	698895	8.370
	"Alaska"	"02"	"2010"	"2010"	"Respiratory System"	"22010-22060"	384	713910	71.244
	"Alaska"	"02"	"2010"	"2010"	"Lung and Bronchus"	"22030"	363	713910	68.523
	"Alaska"	"02"	"2010"	"2010"	"Brain and Other Nervous System"	"31010-31040"	71	713910	10.664
	"Alaska"	"02"	"2010"	"2010"	"Brain"	"31010"	64	713910	9.741
	"Alaska"	"02"	"2011"	"2011"	"Respiratory System"	"22010-22060"	378	722128	70.048
	"Alaska"	"02"	"2011"	"2011"	"Lung and Bronchus"	"22030"	355	722128	66.715
	"Alaska"	"02"	"2011"	"2011"	"Brain and Other Nervous System"	"31010-31040"	42	722128	6.455
	"Alaska"	"02"	"2011"	"2011"	"Brain"	"31010"	38	722128	5.863
	"Alaska"	"02"	"2012"	"2012"	"Respiratory System"	"22010-22060"	367	730443	63.211
	"Alaska"	"02"	"2012"	"2012"	"Lung and Bronchus"	"22030"	347	730443	60.206
	"Alaska"	"02"	"2012"	"2012"	"Brain and Other Nervous System"	"31010-31040"	43	730443	6.723
	"Alaska"	"02"	"2012"	"2012"	"Brain"	"31010"	40	730443	6.374
	"Alaska"	"02"	"2013"	"2013"	"Respiratory System"	"22010-22060"	350	737068	59.364
	"Alaska"	"02"	"2013"	"2013"	"Lung and Bronchus"	"22030"	328	737068	55.945
	"Alaska"	"02"	"2013"	"2013"	"Brain and Other Nervous System"	"31010-31040"	37	737068	4.545
	"Alaska"	"02"	"2013"	"2013"	"Brain"	"31010"	34	737068	4.190
	"Alaska"	"02"	"2014"	"2014"	"Respiratory System"	"22010-22060"	388	736283	62.617
	"Alaska"	"02"	"2014"	"2014"	"Lung and Bronchus"	"22030"	361	736283	58.666
	"Alaska"	"02"	"2014"	"2014"	"Brain and Other Nervous System"	"31010-31040"	41	736283	5.979
	"Alaska"	"02"	"2014"	"2014"	"Brain"	"31010"	39	736283	5.550
	"Alaska"	"02"	"2015"	"2015"	"Respiratory System"	"22010-22060"	408	737498	62.533
	"Alaska"	"02"	"2015"	"2015"	"Lung and Bronchus"	"22030"	380	737498	58.567
	"Alaska"	"02"	"2015"	"2015"	"Brain and Other Nervous System"	"31010-31040"	53	737498	7.315
	"Alaska"	"02"	"2015"	"2015"	"Brain"	"31010"	51	737498	6.916
	"Alaska"	"02"	"2016"	"2016"	"Respiratory System"	"22010-22060"	406	741456	61.296
	"Alaska"	"02"	"2016"	"2016"	"Lung and Bronchus"	"22030"	376	741456	57.236
	"Alaska"	"02"	"2016"	"2016"	"Brain and Other Nervous System"	"31010-31040"	57	741456	8.021
	"Alaska"	"02"	"2016"	"2016"	"Brain"	"31010"	57	741456	8.021
	"Alaska"	"02"	"2016"	"2016"	"Cranial Nerves Other Nervous System"	"31040"	0	741456	0.000
	"Alaska"	"02"	"2017"	"2017"	"Respiratory System"	"22010-22060"	389	739700	57.242
	"Alaska"	"02"	"2017"	"2017"	"Lung and Bronchus"	"22030"	370	739700	54.313
	"Alaska"	"02"	"2017"	"2017"	"Brain and Other Nervous System"	"31010-31040"	49	739700	6.374
	"Alaska"	"02"	"2017"	"2017"	"Brain"	"31010"	46	739700	6.029
	"Alaska"	"02"	"2018"	"2018"	"Respiratory System"	"22010-22060"	373	735139	51.636
	"Alaska"	"02"	"2018"	"2018"	"Lung and Bronchus"	"22030"	344	735139	47.876
	"Alaska"	"02"	"2018"	"2018"	"Brain and Other Nervous System"	"31010-31040"	42	735139	5.200
	"Alaska"	"02"	"2018"	"2018"	"Brain"	"31010"	40	735139	4.945
	"Arizona"	"04"	"1999"	"1999"	"Respiratory System"	"22010-22060"	3262	5023823	63.918
	"Arizona"	"04"	"1999"	"1999"	"Lung and Bronchus"	"22030"	3049	5023823	59.661
	"Arizona"	"04"	"1999"	"1999"	"Brain and Other Nervous System"	"31010-31040"	346	5023823	6.904
	"Arizona"	"04"	"1999"	"1999"	"Brain"	"31010"	327	5023823	6.525
	"Arizona"	"04"	"1999"	"1999"	"Cranial Nerves Other Nervous System"	"31040"	19	5023823	0.379
	"Arizona"	"04"	"2000"	"2000"	"Respiratory System"	"22010-22060"	3431	5160586	65.459
	"Arizona"	"04"	"2000"	"2000"	"Lung and Bronchus"	"22030"	3184	5160586	60.686
	"Arizona"	"04"	"2000"	"2000"	"Brain and Other Nervous System"	"31010-31040"	324	5160586	6.258
	"Arizona"	"04"	"2000"	"2000"	"Brain"	"31010"	306	5160586	5.901
	"Arizona"	"04"	"2000"	"2000"	"Cranial Nerves Other Nervous System"	"31040"	18	5160586	0.357
	"Arizona"	"04"	"2001"	"2001"	"Respiratory System"	"22010-22060"	3553	5273477	66.299
	"Arizona"	"04"	"2001"	"2001"	"Lung and Bronchus"	"22030"	3307	5273477	61.696
	"Arizona"	"04"	"2001"	"2001"	"Brain and Other Nervous System"	"31010-31040"	338	5273477	6.421
	"Arizona"	"04"	"2001"	"2001"	"Brain"	"31010"	319	5273477	6.056
	"Arizona"	"04"	"2001"	"2001"	"Cranial Nerves Other Nervous System"	"31040"	19	5273477	0.365
	"Arizona"	"04"	"2002"	"2002"	"Respiratory System"	"22010-22060"	3475	5396255	63.093
	"Arizona"	"04"	"2002"	"2002"	"Lung and Bronchus"	"22030"	3253	5396255	59.023
	"Arizona"	"04"	"2002"	"2002"	"Brain and Other Nervous System"	"31010-31040"	361	5396255	6.670
	"Arizona"	"04"	"2002"	"2002"	"Brain"	"31010"	336	5396255	6.212
	"Arizona"	"04"	"2002"	"2002"	"Cranial Nerves Other Nervous System"	"31040"	25	5396255	0.458
	"Arizona"	"04"	"2003"	"2003"	"Respiratory System"	"22010-22060"	3655	5510364	64.519
	"Arizona"	"04"	"2003"	"2003"	"Lung and Bronchus"	"22030"	3441	5510364	60.776
	"Arizona"	"04"	"2003"	"2003"	"Brain and Other Nervous System"	"31010-31040"	335	5510364	6.022
	"Arizona"	"04"	"2003"	"2003"	"Brain"	"31010"	314	5510364	5.643
	"Arizona"	"04"	"2003"	"2003"	"Cranial Nerves Other Nervous System"	"31040"	21	5510364	0.379
	"Arizona"	"04"	"2004"	"2004"	"Respiratory System"	"22010-22060"	3655	5652404	62.500
	"Arizona"	"04"	"2004"	"2004"	"Lung and Bronchus"	"22030"	3455	5652404	59.112
	"Arizona"	"04"	"2004"	"2004"	"Brain and Other Nervous System"	"31010-31040"	411	5652404	7.198
	"Arizona"	"04"	"2004"	"2004"	"Brain"	"31010"	386	5652404	6.746
	"Arizona"	"04"	"2004"	"2004"	"Cranial Nerves Other Nervous System"	"31040"	25	5652404	0.452
	"Arizona"	"04"	"2005"	"2005"	"Respiratory System"	"22010-22060"	3802	5839077	62.528
	"Arizona"	"04"	"2005"	"2005"	"Lung and Bronchus"	"22030"	3578	5839077	58.822
	"Arizona"	"04"	"2005"	"2005"	"Brain and Other Nervous System"	"31010-31040"	418	5839077	7.042
	"Arizona"	"04"	"2005"	"2005"	"Brain"	"31010"	396	5839077	6.662
	"Arizona"	"04"	"2005"	"2005"	"Cranial Nerves Other Nervous System"	"31040"	22	5839077	0.380
	"Arizona"	"04"	"2006"	"2006"	"Respiratory System"	"22010-22060"	3757	6029141	59.786
	"Arizona"	"04"	"2006"	"2006"	"Lung and Bronchus"	"22030"	3535	6029141	56.280
	"Arizona"	"04"	"2006"	"2006"	"Brain and Other Nervous System"	"31010-31040"	438	6029141	7.090
	"Arizona"	"04"	"2006"	"2006"	"Brain"	"31010"	401	6029141	6.497
	"Arizona"	"04"	"2006"	"2006"	"Cranial Nerves Other Nervous System"	"31040"	37	6029141	0.593
	"Arizona"	"04"	"2007"	"2007"	"Respiratory System"	"22010-22060"	3872	6167681	59.860
	"Arizona"	"04"	"2007"	"2007"	"Lung and Bronchus"	"22030"	3644	6167681	56.393
	"Arizona"	"04"	"2007"	"2007"	"Brain and Other Nervous System"	"31010-31040"	426	6167681	6.798
	"Arizona"	"04"	"2007"	"2007"	"Brain"	"31010"	391	6167681	6.237
	"Arizona"	"04"	"2007"	"2007"	"Cranial Nerves Other Nervous System"	"31040"	35	6167681	0.561
	"Arizona"	"04"	"2008"	"2008"	"Respiratory System"	"22010-22060"	3894	6280362	58.534
	"Arizona"	"04"	"2008"	"2008"	"Lung and Bronchus"	"22030"	3656	6280362	54.993
	"Arizona"	"04"	"2008"	"2008"	"Brain and Other Nervous System"	"31010-31040"	460	6280362	7.157
	"Arizona"	"04"	"2008"	"2008"	"Brain"	"31010"	431	6280362	6.697
	"Arizona"	"04"	"2008"	"2008"	"Cranial Nerves Other Nervous System"	"31040"	29	6280362	0.460
	"Arizona"	"04"	"2009"	"2009"	"Respiratory System"	"22010-22060"	4117	6343154	60.003
	"Arizona"	"04"	"2009"	"2009"	"Lung and Bronchus"	"22030"	3895	6343154	56.858
	"Arizona"	"04"	"2009"	"2009"	"Brain and Other Nervous System"	"31010-31040"	464	6343154	6.964
	"Arizona"	"04"	"2009"	"2009"	"Brain"	"31010"	436	6343154	6.535
	"Arizona"	"04"	"2009"	"2009"	"Cranial Nerves Other Nervous System"	"31040"	28	6343154	0.429
	"Arizona"	"04"	"2010"	"2010"	"Respiratory System"	"22010-22060"	3918	6407172	55.253
	"Arizona"	"04"	"2010"	"2010"	"Lung and Bronchus"	"22030"	3688	6407172	52.064
	"Arizona"	"04"	"2010"	"2010"	"Brain and Other Nervous System"	"31010-31040"	468	6407172	6.959
	"Arizona"	"04"	"2010"	"2010"	"Brain"	"31010"	443	6407172	6.588
	"Arizona"	"04"	"2010"	"2010"	"Cranial Nerves Other Nervous System"	"31040"	25	6407172	0.371
	"Arizona"	"04"	"2011"	"2011"	"Respiratory System"	"22010-22060"	4081	6472643	55.882
	"Arizona"	"04"	"2011"	"2011"	"Lung and Bronchus"	"22030"	3861	6472643	52.885
	"Arizona"	"04"	"2011"	"2011"	"Brain and Other Nervous System"	"31010-31040"	468	6472643	6.779
	"Arizona"	"04"	"2011"	"2011"	"Brain"	"31010"	432	6472643	6.193
	"Arizona"	"04"	"2011"	"2011"	"Cranial Nerves Other Nervous System"	"31040"	36	6472643	0.586
	"Arizona"	"04"	"2012"	"2012"	"Respiratory System"	"22010-22060"	4065	6554978	53.718
	"Arizona"	"04"	"2012"	"2012"	"Lung and Bronchus"	"22030"	3841	6554978	50.784
	"Arizona"	"04"	"2012"	"2012"	"Brain and Other Nervous System"	"31010-31040"	472	6554978	6.664
	"Arizona"	"04"	"2012"	"2012"	"Brain"	"31010"	445	6554978	6.260
	"Arizona"	"04"	"2012"	"2012"	"Cranial Nerves Other Nervous System"	"31040"	27	6554978	0.404
	"Arizona"	"04"	"2013"	"2013"	"Respiratory System"	"22010-22060"	4272	6632764	54.297
	"Arizona"	"04"	"2013"	"2013"	"Lung and Bronchus"	"22030"	4023	6632764	51.114
	"Arizona"	"04"	"2013"	"2013"	"Brain and Other Nervous System"	"31010-31040"	461	6632764	6.291
	"Arizona"	"04"	"2013"	"2013"	"Brain"	"31010"	436	6632764	5.916
	"Arizona"	"04"	"2013"	"2013"	"Cranial Nerves Other Nervous System"	"31040"	25	6632764	0.375
	"Arizona"	"04"	"2014"	"2014"	"Respiratory System"	"22010-22060"	4195	6730413	51.550
	"Arizona"	"04"	"2014"	"2014"	"Lung and Bronchus"	"22030"	3950	6730413	48.526
	"Arizona"	"04"	"2014"	"2014"	"Brain and Other Nervous System"	"31010-31040"	479	6730413	6.401
	"Arizona"	"04"	"2014"	"2014"	"Brain"	"31010"	453	6730413	6.030
	"Arizona"	"04"	"2014"	"2014"	"Cranial Nerves Other Nervous System"	"31040"	26	6730413	0.370
	"Arizona"	"04"	"2015"	"2015"	"Respiratory System"	"22010-22060"	4319	6829676	50.927
	"Arizona"	"04"	"2015"	"2015"	"Lung and Bronchus"	"22030"	4070	6829676	47.962
	"Arizona"	"04"	"2015"	"2015"	"Brain and Other Nervous System"	"31010-31040"	447	6829676	5.942
	"Arizona"	"04"	"2015"	"2015"	"Brain"	"31010"	414	6829676	5.460
	"Arizona"	"04"	"2015"	"2015"	"Cranial Nerves Other Nervous System"	"31040"	33	6829676	0.481
	"Arizona"	"04"	"2016"	"2016"	"Respiratory System"	"22010-22060"	4177	6941072	47.563
	"Arizona"	"04"	"2016"	"2016"	"Lung and Bronchus"	"22030"	3938	6941072	44.764
	"Arizona"	"04"	"2016"	"2016"	"Brain and Other Nervous System"	"31010-31040"	466	6941072	5.937
	"Arizona"	"04"	"2016"	"2016"	"Brain"	"31010"	420	6941072	5.313
	"Arizona"	"04"	"2016"	"2016"	"Cranial Nerves Other Nervous System"	"31040"	46	6941072	0.624
	"Arizona"	"04"	"2017"	"2017"	"Respiratory System"	"22010-22060"	4288	7044008	46.896
	"Arizona"	"04"	"2017"	"2017"	"Lung and Bronchus"	"22030"	4010	7044008	43.776
	"Arizona"	"04"	"2017"	"2017"	"Brain and Other Nervous System"	"31010-31040"	458	7044008	5.639
	"Arizona"	"04"	"2017"	"2017"	"Brain"	"31010"	429	7044008	5.239
	"Arizona"	"04"	"2017"	"2017"	"Cranial Nerves Other Nervous System"	"31040"	29	7044008	0.400
	"Arizona"	"04"	"2018"	"2018"	"Respiratory System"	"22010-22060"	4103	7158024	43.283
	"Arizona"	"04"	"2018"	"2018"	"Lung and Bronchus"	"22030"	3896	7158024	40.997
	"Arizona"	"04"	"2018"	"2018"	"Brain and Other Nervous System"	"31010-31040"	458	7158024	5.546
	"Arizona"	"04"	"2018"	"2018"	"Brain"	"31010"	435	7158024	5.252
	"Arizona"	"04"	"2018"	"2018"	"Cranial Nerves Other Nervous System"	"31040"	23	7158024	0.294
	"Arkansas"	"05"	"1999"	"1999"	"Respiratory System"	"22010-22060"	Missing	Missing	Missing
	"Arkansas"	"05"	"1999"	"1999"	"Lung and Bronchus"	"22030"	Missing	Missing	Missing
