"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Region"	"Region Code"	"Year"	"Year Code"	"Race"	"Race Code"	Deaths	Population	Age-Adjusted Rate	Age-Adjusted Rate Standard Error
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	0	134912	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	0	878837	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2010"	"2010"	"Black or African American"	"2054-5"	0	2349770	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2010"	"2010"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	0	133726	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	0	892879	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2011"	"2011"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	0	133619	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	0	907379	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2012"	"2012"	"Black or African American"	"2054-5"	0	2316705	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2012"	"2012"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	0	132234	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	0	921981	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2013"	"2013"	"Black or African American"	"2054-5"	0	2301572	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2013"	"2013"	"White"	"2106-3"	0	10246302	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2013"	"2013"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	0	130572	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	0	937654	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2014"	"2014"	"Black or African American"	"2054-5"	0	2286023	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2014"	"2014"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	0	129335	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"	0	951666	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2015"	"2015"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	0	128148	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2016"	"2016"	"Black or African American"	"2054-5"	0	2262985	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2016"	"2016"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	0	126988	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2017"	"2017"	"Asian or Pacific Islander"	"A-PI"	0	974720	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2017"	"2017"	"Black or African American"	"2054-5"	0	2249847	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2017"	"2017"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	0	127616	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"	0	977423	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2018"	"2018"	"Black or African American"	"2054-5"	0	2237094	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2018"	"2018"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	0	178679	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	0	407346	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"1999"	"1999"	"Black or African American"	"2054-5"	0	2497103	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"1999"	"1999"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2000"	"2000"	"American Indian or Alaska Native"	"1002-5"	0	188122	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"	0	427273	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2000"	"2000"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2001"	"2001"	"American Indian or Alaska Native"	"1002-5"	0	192080	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	0	444707	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2001"	"2001"	"Black or African American"	"2054-5"	0	2540881	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2001"	"2001"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2002"	"2002"	"American Indian or Alaska Native"	"1002-5"	0	195459	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	0	459340	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2002"	"2002"	"Black or African American"	"2054-5"	0	2553334	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2002"	"2002"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2003"	"2003"	"American Indian or Alaska Native"	"1002-5"	0	199001	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	0	474782	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2003"	"2003"	"Black or African American"	"2054-5"	0	2565906	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2003"	"2003"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2004"	"2004"	"American Indian or Alaska Native"	"1002-5"	0	203316	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"	0	490211	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2004"	"2004"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2005"	"2005"	"American Indian or Alaska Native"	"1002-5"	0	207689	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	0	506264	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2005"	"2005"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2006"	"2006"	"American Indian or Alaska Native"	"1002-5"	0	212882	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"	0	522673	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2006"	"2006"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	0	219074	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	0	540424	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2007"	"2007"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	0	225634	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	0	557304	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2008"	"2008"	"Black or African American"	"2054-5"	0	2640579	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2008"	"2008"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	0	231088	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	0	572755	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2009"	"2009"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	0	234981	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	0	586927	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2010"	"2010"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	0	236706	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	0	602175	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2011"	"2011"	"Black or African American"	"2054-5"	0	2607121	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2011"	"2011"	"White"	"2106-3"	0	14481759	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2011"	"2011"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	0	237674	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	0	617425	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2012"	"2012"	"Black or African American"	"2054-5"	0	2581920	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2012"	"2012"	"White"	"2106-3"	0	14338337	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2012"	"2012"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	0	635529	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2013"	"2013"	"Black or African American"	"2054-5"	0	2563087	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2013"	"2013"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	0	240705	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	0	651599	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2014"	"2014"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	0	242403	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"	0	665161	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2015"	"2015"	"Black or African American"	"2054-5"	0	2546689	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2015"	"2015"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	0	243886	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2016"	"2016"	"Asian or Pacific Islander"	"A-PI"	0	677591	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2016"	"2016"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	0	245444	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2017"	"2017"	"Asian or Pacific Islander"	"A-PI"	0	689142	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2017"	"2017"	"Black or African American"	"2054-5"	0	2551809	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2017"	"2017"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	0	245546	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"	0	696996	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2018"	"2018"	"Black or African American"	"2054-5"	0	2547421	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2018"	"2018"	"White"	"2106-3"	0	13764456	0.000	0.000
	"Lung and Bronchus"	"22030"	"Midwest"	"CENS-R2"	"2018"	"2018"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	0	285166	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	0	601925	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"1999"	"1999"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2000"	"2000"	"American Indian or Alaska Native"	"1002-5"	0	304349	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"	0	638088	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2000"	"2000"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2001"	"2001"	"American Indian or Alaska Native"	"1002-5"	0	315670	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	0	672971	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2001"	"2001"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2002"	"2002"	"American Indian or Alaska Native"	"1002-5"	0	326330	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	0	708138	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2002"	"2002"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2003"	"2003"	"American Indian or Alaska Native"	"1002-5"	0	336074	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	0	743574	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2003"	"2003"	"Black or African American"	"2054-5"	0	7056541	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2003"	"2003"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2004"	"2004"	"American Indian or Alaska Native"	"1002-5"	0	346595	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"	0	782094	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2004"	"2004"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2005"	"2005"	"American Indian or Alaska Native"	"1002-5"	0	358277	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	0	825811	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2005"	"2005"	"Black or African American"	"2054-5"	0	7160076	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2005"	"2005"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2006"	"2006"	"American Indian or Alaska Native"	"1002-5"	0	373595	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"	0	873528	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2006"	"2006"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	0	390369	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	0	922093	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2007"	"2007"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	0	408729	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	0	968462	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2008"	"2008"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
