"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	Count	Population	Age-Adjusted Rate
	"Alabama"	"01"	"2000"	"2000"	"Melanoma of the Skin"	"25010"	582	4452173	12.826
	"Alabama"	"01"	"2000"	"2000"	"Myeloma"	"34000"	257	4452173	5.625
	"Alabama"	"01"	"2000"	"2000"	"Non-Hodgkin Lymphoma"	"33041-33042"	711	4452173	15.573
	"Alabama"	"01"	"2000"	"2000"	"Oral Cavity and Pharynx"	"20010-20100"	534	4452173	11.636
	"Alabama"	"01"	"2000"	"2000"	"Ovary"	"27040"	352	2302835	13.868
	"Alabama"	"01"	"2000"	"2000"	"Pancreas"	"21100"	478	4452173	10.466
	"Alabama"	"01"	"2000"	"2000"	"Prostate"	"28010"	2794	2149338	142.498
	"Alabama"	"01"	"2000"	"2000"	"Stomach"	"21020"	299	4452173	6.569
	"Alabama"	"01"	"2000"	"2000"	"Thyroid"	"32010"	235	4452173	5.232
	"Alabama"	"01"	"2000"	"2000"	"Urinary Bladder, invasive and in situ"	"29010"	715	4452173	15.572
	"Alabama"	"01"	"2001"	"2001"	"Brain and Other Nervous System"	"31010-31040"	301	4467634	6.577
	"Alabama"	"01"	"2001"	"2001"	"Breast"	"26000"	3121	4467634	67.514
	"Alabama"	"01"	"2001"	"2001"	"Cervix Uteri"	"27010"	232	2309496	9.717
	"Alabama"	"01"	"2001"	"2001"	"Colon and Rectum"	"21041-21052"	2337	4467634	50.574
	"Alabama"	"01"	"2001"	"2001"	"Corpus Uteri"	"27020"	416	2309496	16.024
	"Alabama"	"01"	"2001"	"2001"	"Esophagus"	"21010"	226	4467634	4.805
	"Alabama"	"01"	"2001"	"2001"	"Gallbladder"	"21080"	43	4467634	0.932
	"Alabama"	"01"	"2001"	"2001"	"Kidney and Renal Pelvis"	"29020"	556	4467634	11.986
	"Alabama"	"01"	"2001"	"2001"	"Larynx"	"22020"	242	4467634	5.129
	"Alabama"	"01"	"2001"	"2001"	"Leukemias"	"35011-35043"	509	4467634	11.184
	"Alabama"	"01"	"2001"	"2001"	"Liver"	"21071"	166	4467634	3.578
	"Alabama"	"01"	"2001"	"2001"	"Lung and Bronchus"	"22030"	3644	4467634	77.903
	"Alabama"	"01"	"2001"	"2001"	"Melanoma of the Skin"	"25010"	632	4467634	13.802
	"Alabama"	"01"	"2001"	"2001"	"Myeloma"	"34000"	268	4467634	5.752
	"Alabama"	"01"	"2001"	"2001"	"Non-Hodgkin Lymphoma"	"33041-33042"	762	4467634	16.535
	"Alabama"	"01"	"2001"	"2001"	"Oral Cavity and Pharynx"	"20010-20100"	561	4467634	12.015
	"Alabama"	"01"	"2001"	"2001"	"Ovary"	"27040"	344	2309496	13.309
	"Alabama"	"01"	"2001"	"2001"	"Pancreas"	"21100"	501	4467634	10.869
	"Alabama"	"01"	"2001"	"2001"	"Prostate"	"28010"	3110	2158138	155.560
	"Alabama"	"01"	"2001"	"2001"	"Stomach"	"21020"	326	4467634	7.074
	"Alabama"	"01"	"2001"	"2001"	"Thyroid"	"32010"	242	4467634	5.327
	"Alabama"	"01"	"2001"	"2001"	"Urinary Bladder, invasive and in situ"	"29010"	779	4467634	16.846
	"Alabama"	"01"	"2002"	"2002"	"Brain and Other Nervous System"	"31010-31040"	308	4480089	6.730
	"Alabama"	"01"	"2002"	"2002"	"Breast"	"26000"	3093	4480089	66.019
	"Alabama"	"01"	"2002"	"2002"	"Cervix Uteri"	"27010"	261	2314370	10.846
	"Alabama"	"01"	"2002"	"2002"	"Colon and Rectum"	"21041-21052"	2355	4480089	50.341
	"Alabama"	"01"	"2002"	"2002"	"Corpus Uteri"	"27020"	381	2314370	14.413
	"Alabama"	"01"	"2002"	"2002"	"Esophagus"	"21010"	222	4480089	4.648
	"Alabama"	"01"	"2002"	"2002"	"Gallbladder"	"21080"	36	4480089	0.762
	"Alabama"	"01"	"2002"	"2002"	"Kidney and Renal Pelvis"	"29020"	617	4480089	13.064
	"Alabama"	"01"	"2002"	"2002"	"Larynx"	"22020"	239	4480089	4.992
	"Alabama"	"01"	"2002"	"2002"	"Leukemias"	"35011-35043"	518	4480089	11.220
	"Alabama"	"01"	"2002"	"2002"	"Liver"	"21071"	211	4480089	4.537
	"Alabama"	"01"	"2002"	"2002"	"Lung and Bronchus"	"22030"	3627	4480089	76.469
	"Alabama"	"01"	"2002"	"2002"	"Melanoma of the Skin"	"25010"	623	4480089	13.486
	"Alabama"	"01"	"2002"	"2002"	"Myeloma"	"34000"	274	4480089	5.818
	"Alabama"	"01"	"2002"	"2002"	"Non-Hodgkin Lymphoma"	"33041-33042"	808	4480089	17.393
	"Alabama"	"01"	"2002"	"2002"	"Oral Cavity and Pharynx"	"20010-20100"	565	4480089	11.939
	"Alabama"	"01"	"2002"	"2002"	"Ovary"	"27040"	387	2314370	14.812
	"Alabama"	"01"	"2002"	"2002"	"Pancreas"	"21100"	470	4480089	10.045
	"Alabama"	"01"	"2002"	"2002"	"Prostate"	"28010"	3075	2165719	150.399
	"Alabama"	"01"	"2002"	"2002"	"Stomach"	"21020"	321	4480089	6.847
	"Alabama"	"01"	"2002"	"2002"	"Thyroid"	"32010"	292	4480089	6.450
	"Alabama"	"01"	"2002"	"2002"	"Urinary Bladder, invasive and in situ"	"29010"	840	4480089	17.908
	"Alabama"	"01"	"2003"	"2003"	"Brain and Other Nervous System"	"31010-31040"	300	4503491	6.456
	"Alabama"	"01"	"2003"	"2003"	"Breast"	"26000"	2921	4503491	61.529
	"Alabama"	"01"	"2003"	"2003"	"Cervix Uteri"	"27010"	204	2324069	8.533
	"Alabama"	"01"	"2003"	"2003"	"Colon and Rectum"	"21041-21052"	2376	4503491	50.073
	"Alabama"	"01"	"2003"	"2003"	"Corpus Uteri"	"27020"	440	2324069	16.611
	"Alabama"	"01"	"2003"	"2003"	"Esophagus"	"21010"	244	4503491	5.050
	"Alabama"	"01"	"2003"	"2003"	"Gallbladder"	"21080"	40	4503491	0.861
	"Alabama"	"01"	"2003"	"2003"	"Kidney and Renal Pelvis"	"29020"	651	4503491	13.697
	"Alabama"	"01"	"2003"	"2003"	"Larynx"	"22020"	229	4503491	4.699
	"Alabama"	"01"	"2003"	"2003"	"Leukemias"	"35011-35043"	488	4503491	10.464
	"Alabama"	"01"	"2003"	"2003"	"Liver"	"21071"	180	4503491	3.777
	"Alabama"	"01"	"2003"	"2003"	"Lung and Bronchus"	"22030"	3564	4503491	74.147
	"Alabama"	"01"	"2003"	"2003"	"Melanoma of the Skin"	"25010"	634	4503491	13.616
	"Alabama"	"01"	"2003"	"2003"	"Myeloma"	"34000"	249	4503491	5.257
	"Alabama"	"01"	"2003"	"2003"	"Non-Hodgkin Lymphoma"	"33041-33042"	780	4503491	16.510
	"Alabama"	"01"	"2003"	"2003"	"Oral Cavity and Pharynx"	"20010-20100"	570	4503491	11.862
	"Alabama"	"01"	"2003"	"2003"	"Ovary"	"27040"	286	2324069	10.880
	"Alabama"	"01"	"2003"	"2003"	"Pancreas"	"21100"	472	4503491	9.990
	"Alabama"	"01"	"2003"	"2003"	"Prostate"	"28010"	3089	2179422	148.913
	"Alabama"	"01"	"2003"	"2003"	"Stomach"	"21020"	290	4503491	6.164
	"Alabama"	"01"	"2003"	"2003"	"Thyroid"	"32010"	305	4503491	6.617
	"Alabama"	"01"	"2003"	"2003"	"Urinary Bladder, invasive and in situ"	"29010"	805	4503491	17.036
	"Alabama"	"01"	"2004"	"2004"	"Brain and Other Nervous System"	"31010-31040"	317	4530729	6.775
	"Alabama"	"01"	"2004"	"2004"	"Breast"	"26000"	2956	4530729	61.448
	"Alabama"	"01"	"2004"	"2004"	"Cervix Uteri"	"27010"	199	2337857	8.323
	"Alabama"	"01"	"2004"	"2004"	"Colon and Rectum"	"21041-21052"	2471	4530729	51.438
	"Alabama"	"01"	"2004"	"2004"	"Corpus Uteri"	"27020"	442	2337857	16.381
	"Alabama"	"01"	"2004"	"2004"	"Esophagus"	"21010"	228	4530729	4.668
	"Alabama"	"01"	"2004"	"2004"	"Gallbladder"	"21080"	41	4530729	0.863
	"Alabama"	"01"	"2004"	"2004"	"Kidney and Renal Pelvis"	"29020"	721	4530729	14.843
	"Alabama"	"01"	"2004"	"2004"	"Larynx"	"22020"	278	4530729	5.635
	"Alabama"	"01"	"2004"	"2004"	"Leukemias"	"35011-35043"	537	4530729	11.254
	"Alabama"	"01"	"2004"	"2004"	"Liver"	"21071"	221	4530729	4.518
	"Alabama"	"01"	"2004"	"2004"	"Lung and Bronchus"	"22030"	3804	4530729	77.812
	"Alabama"	"01"	"2004"	"2004"	"Melanoma of the Skin"	"25010"	735	4530729	15.431
	"Alabama"	"01"	"2004"	"2004"	"Myeloma"	"34000"	346	4530729	7.141
	"Alabama"	"01"	"2004"	"2004"	"Non-Hodgkin Lymphoma"	"33041-33042"	869	4530729	18.069
	"Alabama"	"01"	"2004"	"2004"	"Oral Cavity and Pharynx"	"20010-20100"	579	4530729	11.875
	"Alabama"	"01"	"2004"	"2004"	"Ovary"	"27040"	349	2337857	13.011
	"Alabama"	"01"	"2004"	"2004"	"Pancreas"	"21100"	525	4530729	10.878
	"Alabama"	"01"	"2004"	"2004"	"Prostate"	"28010"	3268	2192872	154.654
	"Alabama"	"01"	"2004"	"2004"	"Stomach"	"21020"	297	4530729	6.299
	"Alabama"	"01"	"2004"	"2004"	"Thyroid"	"32010"	330	4530729	7.095
	"Alabama"	"01"	"2004"	"2004"	"Urinary Bladder, invasive and in situ"	"29010"	831	4530729	17.249
	"Alabama"	"01"	"2005"	"2005"	"Brain and Other Nervous System"	"31010-31040"	299	4565917	6.263
	"Alabama"	"01"	"2005"	"2005"	"Breast"	"26000"	3099	4565917	63.246
	"Alabama"	"01"	"2005"	"2005"	"Cervix Uteri"	"27010"	197	2354514	8.061
	"Alabama"	"01"	"2005"	"2005"	"Colon and Rectum"	"21041-21052"	2474	4565917	50.656
	"Alabama"	"01"	"2005"	"2005"	"Corpus Uteri"	"27020"	462	2354514	17.102
	"Alabama"	"01"	"2005"	"2005"	"Esophagus"	"21010"	246	4565917	4.904
	"Alabama"	"01"	"2005"	"2005"	"Gallbladder"	"21080"	40	4565917	0.831
	"Alabama"	"01"	"2005"	"2005"	"Kidney and Renal Pelvis"	"29020"	751	4565917	15.232
	"Alabama"	"01"	"2005"	"2005"	"Larynx"	"22020"	265	4565917	5.205
	"Alabama"	"01"	"2005"	"2005"	"Leukemias"	"35011-35043"	547	4565917	11.465
	"Alabama"	"01"	"2005"	"2005"	"Liver"	"21071"	222	4565917	4.493
	"Alabama"	"01"	"2005"	"2005"	"Lung and Bronchus"	"22030"	3766	4565917	76.098
	"Alabama"	"01"	"2005"	"2005"	"Melanoma of the Skin"	"25010"	919	4565917	19.057
	"Alabama"	"01"	"2005"	"2005"	"Myeloma"	"34000"	294	4565917	5.924
	"Alabama"	"01"	"2005"	"2005"	"Non-Hodgkin Lymphoma"	"33041-33042"	865	4565917	17.801
	"Alabama"	"01"	"2005"	"2005"	"Oral Cavity and Pharynx"	"20010-20100"	649	4565917	13.099
	"Alabama"	"01"	"2005"	"2005"	"Ovary"	"27040"	345	2354514	12.649
	"Alabama"	"01"	"2005"	"2005"	"Pancreas"	"21100"	539	4565917	11.098
	"Alabama"	"01"	"2005"	"2005"	"Prostate"	"28010"	3352	2211403	153.438
	"Alabama"	"01"	"2005"	"2005"	"Stomach"	"21020"	320	4565917	6.560
	"Alabama"	"01"	"2005"	"2005"	"Thyroid"	"32010"	331	4565917	6.987
	"Alabama"	"01"	"2005"	"2005"	"Urinary Bladder, invasive and in situ"	"29010"	898	4565917	18.435
	"Alabama"	"01"	"2006"	"2006"	"Brain and Other Nervous System"	"31010-31040"	308	4628981	6.412
	"Alabama"	"01"	"2006"	"2006"	"Breast"	"26000"	3275	4628981	66.000
	"Alabama"	"01"	"2006"	"2006"	"Cervix Uteri"	"27010"	199	2385480	8.086
	"Alabama"	"01"	"2006"	"2006"	"Colon and Rectum"	"21041-21052"	2501	4628981	49.867
	"Alabama"	"01"	"2006"	"2006"	"Corpus Uteri"	"27020"	494	2385480	17.682
	"Alabama"	"01"	"2006"	"2006"	"Esophagus"	"21010"	243	4628981	4.732
	"Alabama"	"01"	"2006"	"2006"	"Gallbladder"	"21080"	43	4628981	0.880
	"Alabama"	"01"	"2006"	"2006"	"Kidney and Renal Pelvis"	"29020"	733	4628981	14.501
	"Alabama"	"01"	"2006"	"2006"	"Larynx"	"22020"	276	4628981	5.333
	"Alabama"	"01"	"2006"	"2006"	"Leukemias"	"35011-35043"	498	4628981	10.157
	"Alabama"	"01"	"2006"	"2006"	"Liver"	"21071"	220	4628981	4.246
	"Alabama"	"01"	"2006"	"2006"	"Lung and Bronchus"	"22030"	3828	4628981	75.339
	"Alabama"	"01"	"2006"	"2006"	"Melanoma of the Skin"	"25010"	908	4628981	18.436
	"Alabama"	"01"	"2006"	"2006"	"Myeloma"	"34000"	285	4628981	5.602
	"Alabama"	"01"	"2006"	"2006"	"Non-Hodgkin Lymphoma"	"33041-33042"	782	4628981	15.821
	"Alabama"	"01"	"2006"	"2006"	"Oral Cavity and Pharynx"	"20010-20100"	717	4628981	14.117
	"Alabama"	"01"	"2006"	"2006"	"Ovary"	"27040"	341	2385480	12.482
	"Alabama"	"01"	"2006"	"2006"	"Pancreas"	"21100"	565	4628981	11.309
	"Alabama"	"01"	"2006"	"2006"	"Prostate"	"28010"	3781	2243501	166.194
	"Alabama"	"01"	"2006"	"2006"	"Stomach"	"21020"	281	4628981	5.618
	"Alabama"	"01"	"2006"	"2006"	"Thyroid"	"32010"	352	4628981	7.246
	"Alabama"	"01"	"2006"	"2006"	"Urinary Bladder, invasive and in situ"	"29010"	885	4628981	17.814
	"Alabama"	"01"	"2007"	"2007"	"Brain and Other Nervous System"	"31010-31040"	334	4672840	6.765
	"Alabama"	"01"	"2007"	"2007"	"Breast"	"26000"	3278	4672840	64.520
	"Alabama"	"01"	"2007"	"2007"	"Cervix Uteri"	"27010"	237	2407275	9.681
	"Alabama"	"01"	"2007"	"2007"	"Colon and Rectum"	"21041-21052"	2528	4672840	49.668
	"Alabama"	"01"	"2007"	"2007"	"Corpus Uteri"	"27020"	506	2407275	17.901
	"Alabama"	"01"	"2007"	"2007"	"Esophagus"	"21010"	268	4672840	5.130
	"Alabama"	"01"	"2007"	"2007"	"Gallbladder"	"21080"	58	4672840	1.150
	"Alabama"	"01"	"2007"	"2007"	"Kidney and Renal Pelvis"	"29020"	772	4672840	14.971
	"Alabama"	"01"	"2007"	"2007"	"Larynx"	"22020"	278	4672840	5.289
	"Alabama"	"01"	"2007"	"2007"	"Leukemias"	"35011-35043"	621	4672840	12.600
	"Alabama"	"01"	"2007"	"2007"	"Liver"	"21071"	262	4672840	5.045
	"Alabama"	"01"	"2007"	"2007"	"Lung and Bronchus"	"22030"	3868	4672840	74.826
	"Alabama"	"01"	"2007"	"2007"	"Melanoma of the Skin"	"25010"	970	4672840	19.372
	"Alabama"	"01"	"2007"	"2007"	"Myeloma"	"34000"	316	4672840	6.166
	"Alabama"	"01"	"2007"	"2007"	"Non-Hodgkin Lymphoma"	"33041-33042"	845	4672840	16.871
	"Alabama"	"01"	"2007"	"2007"	"Oral Cavity and Pharynx"	"20010-20100"	656	4672840	12.492
	"Alabama"	"01"	"2007"	"2007"	"Ovary"	"27040"	319	2407275	11.338
	"Alabama"	"01"	"2007"	"2007"	"Pancreas"	"21100"	580	4672840	11.461
	"Alabama"	"01"	"2007"	"2007"	"Prostate"	"28010"	3921	2265565	168.033
	"Alabama"	"01"	"2007"	"2007"	"Stomach"	"21020"	335	4672840	6.611
	"Alabama"	"01"	"2007"	"2007"	"Thyroid"	"32010"	392	4672840	7.967
	"Alabama"	"01"	"2007"	"2007"	"Urinary Bladder, invasive and in situ"	"29010"	941	4672840	18.583
	"Alabama"	"01"	"2008"	"2008"	"Brain and Other Nervous System"	"31010-31040"	372	4718206	7.392
	"Alabama"	"01"	"2008"	"2008"	"Breast"	"26000"	3493	4718206	67.569
	"Alabama"	"01"	"2008"	"2008"	"Cervix Uteri"	"27010"	199	2430257	8.165
	"Alabama"	"01"	"2008"	"2008"	"Colon and Rectum"	"21041-21052"	2632	4718206	50.589
	"Alabama"	"01"	"2008"	"2008"	"Corpus Uteri"	"27020"	520	2430257	17.824
	"Alabama"	"01"	"2008"	"2008"	"Esophagus"	"21010"	253	4718206	4.706
	"Alabama"	"01"	"2008"	"2008"	"Gallbladder"	"21080"	51	4718206	1.017
	"Alabama"	"01"	"2008"	"2008"	"Kidney and Renal Pelvis"	"29020"	845	4718206	16.116
	"Alabama"	"01"	"2008"	"2008"	"Larynx"	"22020"	302	4718206	5.652
	"Alabama"	"01"	"2008"	"2008"	"Leukemias"	"35011-35043"	644	4718206	12.747
	"Alabama"	"01"	"2008"	"2008"	"Liver"	"21071"	300	4718206	5.641
	"Alabama"	"01"	"2008"	"2008"	"Lung and Bronchus"	"22030"	4130	4718206	78.247
	"Alabama"	"01"	"2008"	"2008"	"Melanoma of the Skin"	"25010"	1066	4718206	20.887
	"Alabama"	"01"	"2008"	"2008"	"Myeloma"	"34000"	307	4718206	5.876
	"Alabama"	"01"	"2008"	"2008"	"Non-Hodgkin Lymphoma"	"33041-33042"	796	4718206	15.565
	"Alabama"	"01"	"2008"	"2008"	"Oral Cavity and Pharynx"	"20010-20100"	699	4718206	13.201
	"Alabama"	"01"	"2008"	"2008"	"Ovary"	"27040"	386	2430257	13.361
	"Alabama"	"01"	"2008"	"2008"	"Pancreas"	"21100"	689	4718206	13.195
	"Alabama"	"01"	"2008"	"2008"	"Prostate"	"28010"	3784	2287949	157.771
	"Alabama"	"01"	"2008"	"2008"	"Stomach"	"21020"	342	4718206	6.637
	"Alabama"	"01"	"2008"	"2008"	"Thyroid"	"32010"	452	4718206	9.229
	"Alabama"	"01"	"2008"	"2008"	"Urinary Bladder, invasive and in situ"	"29010"	951	4718206	18.278
	"Alabama"	"01"	"2009"	"2009"	"Brain and Other Nervous System"	"31010-31040"	361	4757938	7.089
	"Alabama"	"01"	"2009"	"2009"	"Breast"	"26000"	3469	4757938	65.780
	"Alabama"	"01"	"2009"	"2009"	"Cervix Uteri"	"27010"	235	2448159	9.232
	"Alabama"	"01"	"2009"	"2009"	"Colon and Rectum"	"21041-21052"	2476	4757938	46.805
	"Alabama"	"01"	"2009"	"2009"	"Corpus Uteri"	"27020"	520	2448159	17.595
	"Alabama"	"01"	"2009"	"2009"	"Esophagus"	"21010"	272	4757938	4.963
	"Alabama"	"01"	"2009"	"2009"	"Gallbladder"	"21080"	48	4757938	0.925
	"Alabama"	"01"	"2009"	"2009"	"Kidney and Renal Pelvis"	"29020"	911	4757938	17.090
	"Alabama"	"01"	"2009"	"2009"	"Larynx"	"22020"	266	4757938	4.773
	"Alabama"	"01"	"2009"	"2009"	"Leukemias"	"35011-35043"	662	4757938	13.054
	"Alabama"	"01"	"2009"	"2009"	"Liver"	"21071"	305	4757938	5.556
	"Alabama"	"01"	"2009"	"2009"	"Lung and Bronchus"	"22030"	4052	4757938	75.362
	"Alabama"	"01"	"2009"	"2009"	"Melanoma of the Skin"	"25010"	1156	4757938	22.524
	"Alabama"	"01"	"2009"	"2009"	"Myeloma"	"34000"	334	4757938	6.315
	"Alabama"	"01"	"2009"	"2009"	"Non-Hodgkin Lymphoma"	"33041-33042"	856	4757938	16.459
	"Alabama"	"01"	"2009"	"2009"	"Oral Cavity and Pharynx"	"20010-20100"	688	4757938	12.700
	"Alabama"	"01"	"2009"	"2009"	"Ovary"	"27040"	365	2448159	12.489
	"Alabama"	"01"	"2009"	"2009"	"Pancreas"	"21100"	622	4757938	11.817
	"Alabama"	"01"	"2009"	"2009"	"Prostate"	"28010"	3852	2309779	157.795
	"Alabama"	"01"	"2009"	"2009"	"Stomach"	"21020"	314	4757938	5.956
	"Alabama"	"01"	"2009"	"2009"	"Thyroid"	"32010"	407	4757938	8.212
	"Alabama"	"01"	"2009"	"2009"	"Urinary Bladder, invasive and in situ"	"29010"	950	4757938	18.163
	"Alabama"	"01"	"2010"	"2010"	"Brain and Other Nervous System"	"31010-31040"	332	4785437	6.432
	"Alabama"	"01"	"2010"	"2010"	"Breast"	"26000"	3455	4785437	64.384
	"Alabama"	"01"	"2010"	"2010"	"Cervix Uteri"	"27010"	200	2462449	7.932
	"Alabama"	"01"	"2010"	"2010"	"Colon and Rectum"	"21041-21052"	2378	4785437	44.172
	"Alabama"	"01"	"2010"	"2010"	"Corpus Uteri"	"27020"	552	2462449	18.326
	"Alabama"	"01"	"2010"	"2010"	"Esophagus"	"21010"	265	4785437	4.762
	"Alabama"	"01"	"2010"	"2010"	"Gallbladder"	"21080"	40	4785437	0.755
	"Alabama"	"01"	"2010"	"2010"	"Kidney and Renal Pelvis"	"29020"	886	4785437	16.350
	"Alabama"	"01"	"2010"	"2010"	"Larynx"	"22020"	278	4785437	4.901
	"Alabama"	"01"	"2010"	"2010"	"Leukemias"	"35011-35043"	610	4785437	11.641
	"Alabama"	"01"	"2010"	"2010"	"Liver"	"21071"	317	4785437	5.604
	"Alabama"	"01"	"2010"	"2010"	"Lung and Bronchus"	"22030"	4038	4785437	73.232
	"Alabama"	"01"	"2010"	"2010"	"Melanoma of the Skin"	"25010"	1134	4785437	21.622
	"Alabama"	"01"	"2010"	"2010"	"Myeloma"	"34000"	382	4785437	6.958
	"Alabama"	"01"	"2010"	"2010"	"Non-Hodgkin Lymphoma"	"33041-33042"	922	4785437	17.268
	"Alabama"	"01"	"2010"	"2010"	"Oral Cavity and Pharynx"	"20010-20100"	729	4785437	13.347
	"Alabama"	"01"	"2010"	"2010"	"Ovary"	"27040"	345	2462449	11.641
	"Alabama"	"01"	"2010"	"2010"	"Pancreas"	"21100"	676	4785437	12.407
	"Alabama"	"01"	"2010"	"2010"	"Prostate"	"28010"	3869	2322988	150.992
	"Alabama"	"01"	"2010"	"2010"	"Stomach"	"21020"	341	4785437	6.383
	"Alabama"	"01"	"2010"	"2010"	"Thyroid"	"32010"	446	4785437	8.914
	"Alabama"	"01"	"2010"	"2010"	"Urinary Bladder, invasive and in situ"	"29010"	1038	4785437	19.315
	"Alabama"	"01"	"2011"	"2011"	"Brain and Other Nervous System"	"31010-31040"	330	4799069	6.266
	"Alabama"	"01"	"2011"	"2011"	"Breast"	"26000"	3486	4799069	64.157
	"Alabama"	"01"	"2011"	"2011"	"Cervix Uteri"	"27010"	207	2470815	8.156
	"Alabama"	"01"	"2011"	"2011"	"Colon and Rectum"	"21041-21052"	2312	4799069	42.136
	"Alabama"	"01"	"2011"	"2011"	"Corpus Uteri"	"27020"	531	2470815	17.401
	"Alabama"	"01"	"2011"	"2011"	"Esophagus"	"21010"	278	4799069	4.896
	"Alabama"	"01"	"2011"	"2011"	"Gallbladder"	"21080"	44	4799069	0.795
	"Alabama"	"01"	"2011"	"2011"	"Kidney and Renal Pelvis"	"29020"	867	4799069	15.759
	"Alabama"	"01"	"2011"	"2011"	"Larynx"	"22020"	307	4799069	5.429
	"Alabama"	"01"	"2011"	"2011"	"Leukemias"	"35011-35043"	661	4799069	12.519
	"Alabama"	"01"	"2011"	"2011"	"Liver"	"21071"	355	4799069	6.264
	"Alabama"	"01"	"2011"	"2011"	"Lung and Bronchus"	"22030"	4020	4799069	71.970
	"Alabama"	"01"	"2011"	"2011"	"Melanoma of the Skin"	"25010"	1102	4799069	20.670
	"Alabama"	"01"	"2011"	"2011"	"Myeloma"	"34000"	333	4799069	5.999
	"Alabama"	"01"	"2011"	"2011"	"Non-Hodgkin Lymphoma"	"33041-33042"	872	4799069	16.330
	"Alabama"	"01"	"2011"	"2011"	"Oral Cavity and Pharynx"	"20010-20100"	691	4799069	12.474
	"Alabama"	"01"	"2011"	"2011"	"Ovary"	"27040"	334	2470815	11.431
	"Alabama"	"01"	"2011"	"2011"	"Pancreas"	"21100"	759	4799069	13.801
	"Alabama"	"01"	"2011"	"2011"	"Prostate"	"28010"	3817	2328254	146.466
	"Alabama"	"01"	"2011"	"2011"	"Stomach"	"21020"	363	4799069	6.687
	"Alabama"	"01"	"2011"	"2011"	"Thyroid"	"32010"	473	4799069	9.325
	"Alabama"	"01"	"2011"	"2011"	"Urinary Bladder, invasive and in situ"	"29010"	1067	4799069	19.527
