"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate
	"Arkansas"	"05"	"2003"	"2003"	21	756927	2.763
	"Arkansas"	"05"	"2005"	"2005"	17	767761	2.225
	"Arkansas"	"05"	"2006"	"2006"	19	776646	2.471
	"Arkansas"	"05"	"2007"	"2007"	21	782997	2.700
	"Arkansas"	"05"	"2008"	"2008"	20	788595	2.559
	"Arkansas"	"05"	"2010"	"2010"	22	795616	2.737
	"Arkansas"	"05"	"2011"	"2011"	17	793158	2.136
	"Arkansas"	"05"	"2012"	"2012"	21	790455	2.660
	"Arkansas"	"05"	"2015"	"2015"	23	784367	2.938
	"Arkansas"	"05"	"2017"	"2017"	16	783558	2.036
"Total"	"Arkansas"	"05"			371	15547242	2.384
	"California"	"06"	"1999"	"1999"	305	10162042	3.024
	"California"	"06"	"2000"	"2000"	308	10255924	3.018
	"California"	"06"	"2001"	"2001"	330	10313880	3.215
	"California"	"06"	"2002"	"2002"	350	10354903	3.383
	"California"	"06"	"2003"	"2003"	363	10407621	3.487
	"California"	"06"	"2004"	"2004"	336	10443725	3.225
	"California"	"06"	"2005"	"2005"	295	10441553	2.817
	"California"	"06"	"2006"	"2006"	301	10426324	2.874
	"California"	"06"	"2007"	"2007"	308	10419053	2.949
	"California"	"06"	"2008"	"2008"	293	10448668	2.788
	"California"	"06"	"2009"	"2009"	281	10451060	2.674
	"California"	"06"	"2010"	"2010"	284	10427122	2.715
	"California"	"06"	"2011"	"2011"	274	10353903	2.622
	"California"	"06"	"2012"	"2012"	271	10287848	2.623
	"California"	"06"	"2013"	"2013"	266	10239242	2.593
	"California"	"06"	"2014"	"2014"	242	10198085	2.372
	"California"	"06"	"2015"	"2015"	240	10165907	2.357
	"California"	"06"	"2016"	"2016"	283	10122391	2.794
	"California"	"06"	"2017"	"2017"	229	10072493	2.271
	"California"	"06"	"2018"	"2018"	228	10002984	2.275
"Total"	"California"	"06"			5787	205994728	2.805
	"Colorado"	"08"	"1999"	"1999"	20	1204900	1.660
	"Colorado"	"08"	"2000"	"2000"	31	1231243	2.518
	"Colorado"	"08"	"2001"	"2001"	27	1256827	2.135
	"Colorado"	"08"	"2002"	"2002"	33	1269413	2.618
	"Colorado"	"08"	"2003"	"2003"	32	1276428	2.493
	"Colorado"	"08"	"2004"	"2004"	23	1278974	1.837
	"Colorado"	"08"	"2005"	"2005"	46	1289504	3.550
	"Colorado"	"08"	"2006"	"2006"	27	1305551	2.073
	"Colorado"	"08"	"2007"	"2007"	30	1323445	2.242
	"Colorado"	"08"	"2008"	"2008"	36	1341086	2.692
	"Colorado"	"08"	"2009"	"2009"	25	1356810	1.845
	"Colorado"	"08"	"2010"	"2010"	20	1366696	1.469
	"Colorado"	"08"	"2011"	"2011"	23	1373536	1.668
	"Colorado"	"08"	"2012"	"2012"	30	1375829	2.182
	"Colorado"	"08"	"2013"	"2013"	30	1379733	2.175
	"Colorado"	"08"	"2014"	"2014"	35	1386648	2.525
	"Colorado"	"08"	"2015"	"2015"	24	1397512	1.712
	"Colorado"	"08"	"2016"	"2016"	34	1404433	2.420
	"Colorado"	"08"	"2017"	"2017"	22	1406242	1.562
	"Colorado"	"08"	"2018"	"2018"	26	1410195	1.832
"Total"	"Colorado"	"08"			574	26635005	2.156
	"Connecticut"	"09"	"1999"	"1999"	21	917417	2.304
	"Connecticut"	"09"	"2000"	"2000"	25	926152	2.734
	"Connecticut"	"09"	"2001"	"2001"	17	934730	1.827
	"Connecticut"	"09"	"2002"	"2002"	29	940829	3.093
	"Connecticut"	"09"	"2003"	"2003"	21	944098	2.200
	"Connecticut"	"09"	"2004"	"2004"	16	943246	1.693
	"Connecticut"	"09"	"2005"	"2005"	21	939226	2.207
	"Connecticut"	"09"	"2006"	"2006"	19	935104	2.009
	"Connecticut"	"09"	"2009"	"2009"	18	921458	1.970
	"Connecticut"	"09"	"2011"	"2011"	17	911899	1.872
	"Connecticut"	"09"	"2012"	"2012"	17	903458	1.954
	"Connecticut"	"09"	"2013"	"2013"	16	890255	1.793
	"Connecticut"	"09"	"2016"	"2016"	22	855972	2.467
	"Connecticut"	"09"	"2017"	"2017"	28	847015	3.245
	"Connecticut"	"09"	"2018"	"2018"	26	839089	3.096
"Total"	"Connecticut"	"09"			382	18169363	2.088
"Total"	"Delaware"	"10"			103	4549531	2.257
"Total"	"District of Columbia"	"11"			64	2662736	2.394
	"Florida"	"12"	"1999"	"1999"	103	4003280	2.580
	"Florida"	"12"	"2000"	"2000"	127	4058589	3.125
	"Florida"	"12"	"2001"	"2001"	122	4121474	2.961
	"Florida"	"12"	"2002"	"2002"	111	4190302	2.641
	"Florida"	"12"	"2003"	"2003"	123	4252139	2.887
	"Florida"	"12"	"2004"	"2004"	114	4338695	2.620
	"Florida"	"12"	"2005"	"2005"	137	4426511	3.067
	"Florida"	"12"	"2006"	"2006"	99	4495577	2.224
	"Florida"	"12"	"2007"	"2007"	107	4520513	2.353
	"Florida"	"12"	"2008"	"2008"	120	4527628	2.615
	"Florida"	"12"	"2009"	"2009"	109	4513647	2.387
	"Florida"	"12"	"2010"	"2010"	92	4502829	2.006
	"Florida"	"12"	"2011"	"2011"	95	4484509	2.103
	"Florida"	"12"	"2012"	"2012"	97	4480062	2.169
	"Florida"	"12"	"2013"	"2013"	91	4494301	2.017
	"Florida"	"12"	"2014"	"2014"	113	4518227	2.488
	"Florida"	"12"	"2015"	"2015"	117	4565764	2.564
	"Florida"	"12"	"2016"	"2016"	115	4628015	2.473
	"Florida"	"12"	"2017"	"2017"	122	4676055	2.606
	"Florida"	"12"	"2018"	"2018"	108	4704922	2.290
"Total"	"Florida"	"12"			2222	88503039	2.501
	"Georgia"	"13"	"1999"	"1999"	60	2373428	2.539
	"Georgia"	"13"	"2000"	"2000"	59	2422975	2.439
	"Georgia"	"13"	"2001"	"2001"	50	2460269	2.051
	"Georgia"	"13"	"2002"	"2002"	59	2493892	2.380
	"Georgia"	"13"	"2003"	"2003"	57	2526258	2.281
	"Georgia"	"13"	"2004"	"2004"	64	2563023	2.507
	"Georgia"	"13"	"2005"	"2005"	61	2610593	2.346
	"Georgia"	"13"	"2006"	"2006"	76	2669592	2.831
	"Georgia"	"13"	"2007"	"2007"	64	2729049	2.346
	"Georgia"	"13"	"2008"	"2008"	79	2763796	2.839
	"Georgia"	"13"	"2009"	"2009"	48	2777234	1.739
	"Georgia"	"13"	"2010"	"2010"	61	2780390	2.183
	"Georgia"	"13"	"2011"	"2011"	64	2774831	2.297
	"Georgia"	"13"	"2012"	"2012"	60	2771210	2.166
	"Georgia"	"13"	"2013"	"2013"	63	2765254	2.278
	"Georgia"	"13"	"2014"	"2014"	74	2766663	2.672
	"Georgia"	"13"	"2015"	"2015"	58	2775713	2.090
	"Georgia"	"13"	"2016"	"2016"	73	2789254	2.614
	"Georgia"	"13"	"2017"	"2017"	53	2795856	1.894
	"Georgia"	"13"	"2018"	"2018"	65	2799078	2.301
"Total"	"Georgia"	"13"			1248	53408358	2.337
"Total"	"Hawaii"	"15"			184	6681551	2.770
	"Idaho"	"16"	"1999"	"1999"	17	411481	4.152
	"Idaho"	"16"	"2003"	"2003"	20	424477	4.673
"Total"	"Idaho"	"16"			200	9124514	2.191
	"Illinois"	"17"	"1999"	"1999"	101	3599110	2.811
	"Illinois"	"17"	"2000"	"2000"	91	3606347	2.530
	"Illinois"	"17"	"2001"	"2001"	106	3603190	2.947
	"Illinois"	"17"	"2002"	"2002"	92	3594189	2.561
	"Illinois"	"17"	"2003"	"2003"	98	3581302	2.746
	"Illinois"	"17"	"2004"	"2004"	111	3571714	3.120
	"Illinois"	"17"	"2005"	"2005"	83	3552913	2.336
	"Illinois"	"17"	"2006"	"2006"	83	3537020	2.333
	"Illinois"	"17"	"2007"	"2007"	72	3531290	2.029
	"Illinois"	"17"	"2008"	"2008"	69	3522622	1.954
	"Illinois"	"17"	"2009"	"2009"	93	3509764	2.637
	"Illinois"	"17"	"2010"	"2010"	88	3490249	2.513
	"Illinois"	"17"	"2011"	"2011"	85	3456390	2.440
	"Illinois"	"17"	"2012"	"2012"	84	3417238	2.445
	"Illinois"	"17"	"2013"	"2013"	81	3376957	2.394
	"Illinois"	"17"	"2014"	"2014"	62	3335376	1.844
	"Illinois"	"17"	"2015"	"2015"	74	3297373	2.239
	"Illinois"	"17"	"2016"	"2016"	69	3260087	2.107
	"Illinois"	"17"	"2017"	"2017"	76	3223517	2.344
	"Illinois"	"17"	"2018"	"2018"	63	3183543	1.976
"Total"	"Illinois"	"17"			1681	69250191	2.421
	"Indiana"	"18"	"1999"	"1999"	42	1755549	2.393
	"Indiana"	"18"	"2000"	"2000"	44	1764612	2.482
	"Indiana"	"18"	"2001"	"2001"	55	1767384	3.107
	"Indiana"	"18"	"2002"	"2002"	57	1764686	3.235
	"Indiana"	"18"	"2003"	"2003"	34	1767761	1.918
	"Indiana"	"18"	"2004"	"2004"	47	1773433	2.659
	"Indiana"	"18"	"2005"	"2005"	44	1780255	2.469
	"Indiana"	"18"	"2006"	"2006"	55	1790845	3.069
	"Indiana"	"18"	"2007"	"2007"	53	1800421	2.932
	"Indiana"	"18"	"2008"	"2008"	43	1808812	2.357
	"Indiana"	"18"	"2009"	"2009"	46	1809338	2.532
	"Indiana"	"18"	"2010"	"2010"	38	1803720	2.096
	"Indiana"	"18"	"2011"	"2011"	39	1792320	2.175
	"Indiana"	"18"	"2012"	"2012"	45	1778085	2.526
	"Indiana"	"18"	"2013"	"2013"	51	1772586	2.874
	"Indiana"	"18"	"2014"	"2014"	34	1766277	1.929
	"Indiana"	"18"	"2015"	"2015"	51	1759877	2.890
	"Indiana"	"18"	"2016"	"2016"	49	1758389	2.772
	"Indiana"	"18"	"2017"	"2017"	27	1755859	1.525
	"Indiana"	"18"	"2018"	"2018"	33	1756657	1.867
"Total"	"Indiana"	"18"			887	35526866	2.491
	"Iowa"	"19"	"1999"	"1999"	21	827846	2.497
	"Iowa"	"19"	"2000"	"2000"	38	827924	4.502
	"Iowa"	"19"	"2001"	"2001"	19	824756	2.304
	"Iowa"	"19"	"2002"	"2002"	23	817559	2.758
	"Iowa"	"19"	"2003"	"2003"	21	813899	2.556
	"Iowa"	"19"	"2004"	"2004"	19	812234	2.325
	"Iowa"	"19"	"2005"	"2005"	30	809750	3.710
	"Iowa"	"19"	"2006"	"2006"	23	812182	2.838
	"Iowa"	"19"	"2007"	"2007"	18	814834	2.225
	"Iowa"	"19"	"2009"	"2009"	23	820403	2.760
	"Iowa"	"19"	"2012"	"2012"	23	817018	2.799
	"Iowa"	"19"	"2013"	"2013"	23	818214	2.815
	"Iowa"	"19"	"2014"	"2014"	19	820219	2.325
	"Iowa"	"19"	"2015"	"2015"	25	820881	3.067
	"Iowa"	"19"	"2017"	"2017"	18	821818	2.188
	"Iowa"	"19"	"2018"	"2018"	21	819149	2.565
"Total"	"Iowa"	"19"			417	16380013	2.538
	"Kansas"	"20"	"1999"	"1999"	18	798028	2.261
	"Kansas"	"20"	"2000"	"2000"	20	799571	2.490
	"Kansas"	"20"	"2001"	"2001"	24	798625	2.927
	"Kansas"	"20"	"2002"	"2002"	22	795970	2.751
	"Kansas"	"20"	"2003"	"2003"	19	794276	2.384
	"Kansas"	"20"	"2005"	"2005"	23	789469	2.919
	"Kansas"	"20"	"2006"	"2006"	20	789101	2.543
	"Kansas"	"20"	"2007"	"2007"	20	794777	2.537
	"Kansas"	"20"	"2008"	"2008"	20	799701	2.504
	"Kansas"	"20"	"2009"	"2009"	34	806266	4.209
	"Kansas"	"20"	"2011"	"2011"	20	810893	2.474
	"Kansas"	"20"	"2012"	"2012"	19	809271	2.344
	"Kansas"	"20"	"2013"	"2013"	20	806460	2.470
	"Kansas"	"20"	"2014"	"2014"	18	803751	2.237
	"Kansas"	"20"	"2015"	"2015"	23	801130	2.869
	"Kansas"	"20"	"2016"	"2016"	18	797307	2.265
	"Kansas"	"20"	"2017"	"2017"	19	792540	2.397
	"Kansas"	"20"	"2018"	"2018"	22	787399	2.804
"Total"	"Kansas"	"20"			408	15977420	2.549
	"Kentucky"	"21"	"1999"	"1999"	21	1116377	1.864
	"Kentucky"	"21"	"2000"	"2000"	29	1114144	2.586
	"Kentucky"	"21"	"2001"	"2001"	27	1109841	2.436
	"Kentucky"	"21"	"2002"	"2002"	27	1109644	2.431
	"Kentucky"	"21"	"2003"	"2003"	36	1112867	3.197
	"Kentucky"	"21"	"2004"	"2004"	28	1113460	2.496
	"Kentucky"	"21"	"2005"	"2005"	27	1119269	2.404
	"Kentucky"	"21"	"2006"	"2006"	30	1126137	2.674
	"Kentucky"	"21"	"2007"	"2007"	25	1133012	2.218
	"Kentucky"	"21"	"2008"	"2008"	26	1142982	2.273
	"Kentucky"	"21"	"2009"	"2009"	23	1144346	2.036
	"Kentucky"	"21"	"2010"	"2010"	23	1146066	2.011
	"Kentucky"	"21"	"2011"	"2011"	23	1140703	2.011
	"Kentucky"	"21"	"2012"	"2012"	25	1134186	2.208
	"Kentucky"	"21"	"2013"	"2013"	33	1132500	2.918
	"Kentucky"	"21"	"2014"	"2014"	28	1127629	2.485
	"Kentucky"	"21"	"2015"	"2015"	25	1125668	2.222
	"Kentucky"	"21"	"2016"	"2016"	36	1125395	3.188
	"Kentucky"	"21"	"2017"	"2017"	22	1125512	1.949
	"Kentucky"	"21"	"2018"	"2018"	24	1123124	2.144
"Total"	"Kentucky"	"21"			538	22522862	2.387
	"Louisiana"	"22"	"1999"	"1999"	38	1376341	2.701
	"Louisiana"	"22"	"2000"	"2000"	37	1365997	2.689
	"Louisiana"	"22"	"2001"	"2001"	50	1349122	3.677
	"Louisiana"	"22"	"2002"	"2002"	49	1338467	3.658
	"Louisiana"	"22"	"2003"	"2003"	26	1331577	1.948
	"Louisiana"	"22"	"2004"	"2004"	41	1326027	3.085
	"Louisiana"	"22"	"2005"	"2005"	34	1266232	2.666
	"Louisiana"	"22"	"2006"	"2006"	28	1209304	2.258
	"Louisiana"	"22"	"2007"	"2007"	25	1229822	2.047
	"Louisiana"	"22"	"2008"	"2008"	31	1245348	2.489
	"Louisiana"	"22"	"2009"	"2009"	23	1251268	1.826
	"Louisiana"	"22"	"2010"	"2010"	29	1252084	2.305
	"Louisiana"	"22"	"2011"	"2011"	35	1243458	2.831
	"Louisiana"	"22"	"2012"	"2012"	29	1236741	2.335
	"Louisiana"	"22"	"2013"	"2013"	35	1232177	2.866
	"Louisiana"	"22"	"2014"	"2014"	28	1229655	2.301
	"Louisiana"	"22"	"2015"	"2015"	22	1229369	1.803
	"Louisiana"	"22"	"2016"	"2016"	23	1228883	1.866
	"Louisiana"	"22"	"2017"	"2017"	22	1222057	1.815
	"Louisiana"	"22"	"2018"	"2018"	28	1212852	2.325
"Total"	"Louisiana"	"22"			633	25376781	2.487
"Total"	"Maine"	"23"			163	6271469	2.572
	"Maryland"	"24"	"1999"	"1999"	44	1482861	2.982
	"Maryland"	"24"	"2000"	"2000"	47	1493782	3.135
	"Maryland"	"24"	"2001"	"2001"	47	1506076	3.123
	"Maryland"	"24"	"2002"	"2002"	40	1519125	2.655
	"Maryland"	"24"	"2003"	"2003"	39	1526497	2.525
	"Maryland"	"24"	"2004"	"2004"	49	1533272	3.204
	"Maryland"	"24"	"2005"	"2005"	56	1534518	3.637
	"Maryland"	"24"	"2006"	"2006"	33	1532167	2.142
	"Maryland"	"24"	"2007"	"2007"	30	1527590	1.936
	"Maryland"	"24"	"2008"	"2008"	26	1522335	1.688
	"Maryland"	"24"	"2009"	"2009"	30	1518884	1.933
	"Maryland"	"24"	"2010"	"2010"	45	1516742	2.931
	"Maryland"	"24"	"2011"	"2011"	24	1515300	1.561
	"Maryland"	"24"	"2012"	"2012"	36	1510882	2.364
	"Maryland"	"24"	"2013"	"2013"	31	1504912	2.056
	"Maryland"	"24"	"2014"	"2014"	36	1503919	2.404
	"Maryland"	"24"	"2015"	"2015"	40	1500675	2.653
	"Maryland"	"24"	"2016"	"2016"	35	1499047	2.335
	"Maryland"	"24"	"2017"	"2017"	31	1497202	2.073
	"Maryland"	"24"	"2018"	"2018"	36	1494011	2.405
"Total"	"Maryland"	"24"			755	30239797	2.491
	"Massachusetts"	"25"	"1999"	"1999"	40	1666586	2.390
	"Massachusetts"	"25"	"2000"	"2000"	48	1676429	2.870
	"Massachusetts"	"25"	"2001"	"2001"	39	1683014	2.313
	"Massachusetts"	"25"	"2002"	"2002"	38	1683589	2.243
	"Massachusetts"	"25"	"2003"	"2003"	43	1678346	2.532
	"Massachusetts"	"25"	"2004"	"2004"	36	1668500	2.146
	"Massachusetts"	"25"	"2005"	"2005"	36	1654917	2.196
	"Massachusetts"	"25"	"2006"	"2006"	33	1644388	1.953
	"Massachusetts"	"25"	"2007"	"2007"	40	1637403	2.351
	"Massachusetts"	"25"	"2008"	"2008"	42	1632561	2.565
	"Massachusetts"	"25"	"2009"	"2009"	32	1628136	1.956
	"Massachusetts"	"25"	"2010"	"2010"	27	1623918	1.684
	"Massachusetts"	"25"	"2011"	"2011"	39	1620615	2.407
	"Massachusetts"	"25"	"2012"	"2012"	38	1614204	2.348
	"Massachusetts"	"25"	"2013"	"2013"	33	1608204	2.005
	"Massachusetts"	"25"	"2014"	"2014"	28	1601635	1.716
	"Massachusetts"	"25"	"2015"	"2015"	39	1592805	2.432
	"Massachusetts"	"25"	"2016"	"2016"	32	1584880	1.999
	"Massachusetts"	"25"	"2017"	"2017"	39	1580007	2.483
	"Massachusetts"	"25"	"2018"	"2018"	29	1571652	1.866
"Total"	"Massachusetts"	"25"			731	32651789	2.226
	"Michigan"	"26"	"1999"	"1999"	76	2881172	2.632
	"Michigan"	"26"	"2000"	"2000"	78	2884980	2.721
	"Michigan"	"26"	"2001"	"2001"	78	2880673	2.705
	"Michigan"	"26"	"2002"	"2002"	80	2869862	2.775
	"Michigan"	"26"	"2003"	"2003"	71	2859024	2.480
	"Michigan"	"26"	"2004"	"2004"	77	2847180	2.706
	"Michigan"	"26"	"2005"	"2005"	73	2823815	2.582
	"Michigan"	"26"	"2006"	"2006"	72	2796852	2.571
	"Michigan"	"26"	"2007"	"2007"	75	2765779	2.682
	"Michigan"	"26"	"2008"	"2008"	67	2724448	2.480
	"Michigan"	"26"	"2009"	"2009"	69	2682344	2.620
	"Michigan"	"26"	"2010"	"2010"	56	2636481	2.121
	"Michigan"	"26"	"2011"	"2011"	59	2595952	2.283
	"Michigan"	"26"	"2012"	"2012"	67	2560936	2.591
	"Michigan"	"26"	"2013"	"2013"	56	2531598	2.182
	"Michigan"	"26"	"2014"	"2014"	70	2505654	2.792
	"Michigan"	"26"	"2015"	"2015"	59	2480323	2.370
	"Michigan"	"26"	"2016"	"2016"	50	2463703	2.033
	"Michigan"	"26"	"2017"	"2017"	49	2448860	1.996
	"Michigan"	"26"	"2018"	"2018"	62	2428750	2.566
"Total"	"Michigan"	"26"			1344	53668386	2.500
	"Minnesota"	"27"	"1999"	"1999"	40	1429505	2.781
	"Minnesota"	"27"	"2000"	"2000"	36	1438110	2.509
	"Minnesota"	"27"	"2001"	"2001"	32	1443735	2.198
	"Minnesota"	"27"	"2002"	"2002"	41	1439059	2.832
	"Minnesota"	"27"	"2003"	"2003"	41	1435346	2.884
	"Minnesota"	"27"	"2004"	"2004"	34	1434533	2.352
	"Minnesota"	"27"	"2005"	"2005"	29	1429877	2.009
	"Minnesota"	"27"	"2006"	"2006"	32	1430719	2.237
	"Minnesota"	"27"	"2007"	"2007"	36	1433925	2.496
	"Minnesota"	"27"	"2008"	"2008"	31	1435004	2.144
	"Minnesota"	"27"	"2009"	"2009"	36	1433773	2.520
	"Minnesota"	"27"	"2010"	"2010"	29	1431547	2.020
	"Minnesota"	"27"	"2011"	"2011"	31	1431471	2.151
	"Minnesota"	"27"	"2012"	"2012"	35	1426048	2.454
	"Minnesota"	"27"	"2013"	"2013"	28	1424248	1.967
	"Minnesota"	"27"	"2014"	"2014"	28	1426186	1.966
	"Minnesota"	"27"	"2015"	"2015"	31	1426921	2.176
	"Minnesota"	"27"	"2016"	"2016"	37	1432906	2.590
	"Minnesota"	"27"	"2017"	"2017"	32	1439686	2.226
	"Minnesota"	"27"	"2018"	"2018"	29	1443811	2.008
"Total"	"Minnesota"	"27"			668	28666410	2.325
	"Mississippi"	"28"	"1999"	"1999"	21	874317	2.418
	"Mississippi"	"28"	"2001"	"2001"	17	863810	1.959
	"Mississippi"	"28"	"2002"	"2002"	18	856037	2.107
	"Mississippi"	"28"	"2003"	"2003"	24	851364	2.853
	"Mississippi"	"28"	"2004"	"2004"	20	852530	2.327
	"Mississippi"	"28"	"2005"	"2005"	22	842332	2.624
	"Mississippi"	"28"	"2007"	"2007"	22	852442	2.608
	"Mississippi"	"28"	"2008"	"2008"	27	855160	3.132
	"Mississippi"	"28"	"2009"	"2009"	24	853197	2.790
	"Mississippi"	"28"	"2011"	"2011"	22	837775	2.589
	"Mississippi"	"28"	"2012"	"2012"	21	829608	2.525
	"Mississippi"	"28"	"2013"	"2013"	19	822332	2.304
	"Mississippi"	"28"	"2014"	"2014"	18	815764	2.199
	"Mississippi"	"28"	"2015"	"2015"	19	809419	2.329
	"Mississippi"	"28"	"2016"	"2016"	18	804046	2.246
	"Mississippi"	"28"	"2017"	"2017"	16	798254	2.000
	"Mississippi"	"28"	"2018"	"2018"	19	788889	2.398
"Total"	"Mississippi"	"28"			389	16772499	2.315
	"Missouri"	"29"	"1999"	"1999"	39	1594201	2.436
	"Missouri"	"29"	"2000"	"2000"	44	1595254	2.761
	"Missouri"	"29"	"2001"	"2001"	53	1593065	3.315
	"Missouri"	"29"	"2002"	"2002"	37	1589672	2.322
	"Missouri"	"29"	"2003"	"2003"	32	1588704	2.013
	"Missouri"	"29"	"2004"	"2004"	53	1590304	3.343
	"Missouri"	"29"	"2005"	"2005"	42	1591905	2.594
	"Missouri"	"29"	"2006"	"2006"	43	1596872	2.710
	"Missouri"	"29"	"2007"	"2007"	35	1602212	2.177
	"Missouri"	"29"	"2008"	"2008"	39	1604617	2.417
	"Missouri"	"29"	"2009"	"2009"	33	1603978	2.037
	"Missouri"	"29"	"2010"	"2010"	43	1599074	2.692
	"Missouri"	"29"	"2011"	"2011"	30	1584885	1.886
	"Missouri"	"29"	"2012"	"2012"	37	1570013	2.360
	"Missouri"	"29"	"2013"	"2013"	49	1559033	3.139
	"Missouri"	"29"	"2014"	"2014"	38	1550995	2.450
	"Missouri"	"29"	"2015"	"2015"	38	1546057	2.462
	"Missouri"	"29"	"2016"	"2016"	25	1542129	1.620
	"Missouri"	"29"	"2017"	"2017"	38	1538962	2.467
	"Missouri"	"29"	"2018"	"2018"	47	1533708	3.056
"Total"	"Missouri"	"29"			795	31575640	2.513
"Total"	"Montana"	"30"			130	5054077	2.545
	"Nebraska"	"31"	"1999"	"1999"	16	505276	3.107
	"Nebraska"	"31"	"2004"	"2004"	21	503876	4.131
	"Nebraska"	"31"	"2005"	"2005"	18	503481	3.578
	"Nebraska"	"31"	"2011"	"2011"	19	515346	3.695
	"Nebraska"	"31"	"2012"	"2012"	19	516472	3.693
	"Nebraska"	"31"	"2013"	"2013"	16	518075	3.115
	"Nebraska"	"31"	"2017"	"2017"	17	528569	3.219
"Total"	"Nebraska"	"31"			272	10248020	2.652
	"Nevada"	"32"	"2001"	"2001"	16	584060	2.648
	"Nevada"	"32"	"2006"	"2006"	16	695646	2.337
	"Nevada"	"32"	"2007"	"2007"	18	718348	2.517
	"Nevada"	"32"	"2010"	"2010"	19	733441	2.617
	"Nevada"	"32"	"2011"	"2011"	17	723728	2.373
	"Nevada"	"32"	"2012"	"2012"	16	720663	2.229
	"Nevada"	"32"	"2015"	"2015"	16	731367	2.199
	"Nevada"	"32"	"2016"	"2016"	22	739222	2.978
	"Nevada"	"32"	"2017"	"2017"	17	746709	2.284
"Total"	"Nevada"	"32"			296	13711768	2.179
"Total"	"New Hampshire"	"33"			164	6546798	2.484
	"New Jersey"	"34"	"1999"	"1999"	60	2263704	2.693
	"New Jersey"	"34"	"2000"	"2000"	63	2285412	2.776
	"New Jersey"	"34"	"2001"	"2001"	56	2303248	2.451
	"New Jersey"	"34"	"2002"	"2002"	74	2318754	3.221
	"New Jersey"	"34"	"2003"	"2003"	52	2330306	2.236
	"New Jersey"	"34"	"2004"	"2004"	56	2336900	2.400
	"New Jersey"	"34"	"2005"	"2005"	63	2332099	2.689
	"New Jersey"	"34"	"2006"	"2006"	64	2320362	2.740
	"New Jersey"	"34"	"2007"	"2007"	53	2310920	2.274
	"New Jersey"	"34"	"2008"	"2008"	47	2303527	2.018
	"New Jersey"	"34"	"2009"	"2009"	50	2297204	2.170
	"New Jersey"	"34"	"2010"	"2010"	52	2288935	2.255
