"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2004"	"2004"	35	5110669	0.690
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2005"	"2005"	30	5053118	0.610
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2006"	"2006"	26	5001918	0.519
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2007"	"2007"	31	4965536	0.626
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2008"	"2008"	31	4945553	0.638
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2009"	"2009"	37	4922253	0.762
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2010"	"2010"	29	4888971	0.595
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2011"	"2011"	38	4855634	0.797
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2012"	"2012"	31	4817894	0.655
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2013"	"2013"	22	4778259	0.466
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2014"	"2014"	27	4733211	0.574
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2015"	"2015"	35	4694616	0.745
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2016"	"2016"	30	4654858	0.651
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2017"	"2017"	23	4612049	0.505
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2018"	"2018"	38	4567919	0.843
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2003"	"2003"	17	2300840	0.739
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2006"	"2006"	16	2420033	0.673
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2007"	"2007"	17	2480165	0.683
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2010"	"2010"	19	2561234	0.741
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2012"	"2012"	24	2554975	0.938
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"1999"	"1999"	21	3222127	0.651
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2000"	"2000"	22	3214599	0.683
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2001"	"2001"	21	3200250	0.662
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2002"	"2002"	23	3182127	0.724
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2003"	"2003"	18	3169697	0.567
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2005"	"2005"	22	3142242	0.710
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2006"	"2006"	28	3128181	0.905
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2007"	"2007"	27	3118812	0.875
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2008"	"2008"	24	3105558	0.779
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2009"	"2009"	17	3087465	0.555
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2010"	"2010"	22	3059274	0.728
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2011"	"2011"	17	3024119	0.563
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2012"	"2012"	18	2990107	0.606
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2013"	"2013"	19	2969933	0.635
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2015"	"2015"	21	2937457	0.716
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2016"	"2016"	17	2923128	0.583
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2017"	"2017"	17	2915977	0.591
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2018"	"2018"	21	2901902	0.724
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"1999"	"1999"	24	3275657	0.738
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2000"	"2000"	29	3267204	0.896
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2001"	"2001"	22	3256966	0.667
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2002"	"2002"	22	3247389	0.698
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2003"	"2003"	29	3239738	0.897
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2004"	"2004"	25	3235436	0.802
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2005"	"2005"	18	3226468	0.548
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2006"	"2006"	26	3223047	0.823
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2007"	"2007"	24	3217880	0.771
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2008"	"2008"	18	3208808	0.580
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2009"	"2009"	17	3196745	0.530
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2010"	"2010"	16	3172521	0.502
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2011"	"2011"	23	3145711	0.743
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2012"	"2012"	25	3115246	0.811
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2013"	"2013"	24	3085364	0.784
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2014"	"2014"	24	3061542	0.789
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2016"	"2016"	31	3020756	1.039
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2017"	"2017"	17	3007424	0.566
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2018"	"2018"	26	2995209	0.876
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2002"	"2002"	16	1570856	1.027
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2014"	"2014"	18	1658984	1.085
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"1999"	"1999"	50	6488388	0.768
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2000"	"2000"	48	6568599	0.730
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2001"	"2001"	46	6650892	0.697
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2002"	"2002"	56	6731078	0.838
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2003"	"2003"	59	6809683	0.875
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2004"	"2004"	51	6893798	0.740
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2005"	"2005"	54	6976844	0.780
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2006"	"2006"	49	7146953	0.686
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2007"	"2007"	37	7276869	0.516
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2008"	"2008"	53	7409811	0.709
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2009"	"2009"	56	7543609	0.748
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2010"	"2010"	53	7633495	0.692
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2011"	"2011"	53	7688199	0.689
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2012"	"2012"	53	7743245	0.685
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2013"	"2013"	69	7804941	0.879
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2014"	"2014"	63	7895768	0.798
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2015"	"2015"	52	7998160	0.649
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2016"	"2016"	58	8081802	0.716
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2017"	"2017"	56	8140364	0.687
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2018"	"2018"	55	8173708	0.671
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2000"	"2000"	18	1940254	0.926
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"1999"	"1999"	16	1674996	0.956
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2001"	"2001"	20	1688011	1.197
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2003"	"2003"	19	1686857	1.131
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2011"	"2011"	17	1767550	0.963
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2000"	"2000"	18	1525842	1.188
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2001"	"2001"	20	1546638	1.312
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2002"	"2002"	17	1575649	1.101
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2007"	"2007"	23	1785103	1.315
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2008"	"2008"	17	1814820	0.920
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2009"	"2009"	20	1817884	1.094
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2010"	"2010"	19	1815534	1.040
	"Leukemias"	"35011-35043"	"California"	"06"	"1999"	"1999"	113	10162042	1.129
	"Leukemias"	"35011-35043"	"California"	"06"	"2000"	"2000"	111	10255924	1.093
	"Leukemias"	"35011-35043"	"California"	"06"	"2001"	"2001"	139	10313880	1.353
	"Leukemias"	"35011-35043"	"California"	"06"	"2002"	"2002"	121	10354903	1.172
	"Leukemias"	"35011-35043"	"California"	"06"	"2003"	"2003"	138	10407621	1.322
	"Leukemias"	"35011-35043"	"California"	"06"	"2004"	"2004"	111	10443725	1.066
	"Leukemias"	"35011-35043"	"California"	"06"	"2005"	"2005"	102	10441553	0.976
	"Leukemias"	"35011-35043"	"California"	"06"	"2006"	"2006"	103	10426324	0.978
	"Leukemias"	"35011-35043"	"California"	"06"	"2007"	"2007"	112	10419053	1.070
	"Leukemias"	"35011-35043"	"California"	"06"	"2008"	"2008"	98	10448668	0.928
	"Leukemias"	"35011-35043"	"California"	"06"	"2009"	"2009"	100	10451060	0.949
	"Leukemias"	"35011-35043"	"California"	"06"	"2010"	"2010"	105	10427122	1.001
	"Leukemias"	"35011-35043"	"California"	"06"	"2011"	"2011"	95	10353903	0.906
	"Leukemias"	"35011-35043"	"California"	"06"	"2012"	"2012"	83	10287848	0.804
	"Leukemias"	"35011-35043"	"California"	"06"	"2013"	"2013"	78	10239242	0.761
	"Leukemias"	"35011-35043"	"California"	"06"	"2014"	"2014"	70	10198085	0.684
	"Leukemias"	"35011-35043"	"California"	"06"	"2015"	"2015"	79	10165907	0.775
	"Leukemias"	"35011-35043"	"California"	"06"	"2016"	"2016"	82	10122391	0.809
	"Leukemias"	"35011-35043"	"California"	"06"	"2017"	"2017"	82	10072493	0.810
	"Leukemias"	"35011-35043"	"California"	"06"	"2018"	"2018"	78	10002984	0.777
	"Leukemias"	"35011-35043"	"Colorado"	"08"	"2005"	"2005"	17	1289504	1.296
	"Leukemias"	"35011-35043"	"Florida"	"12"	"1999"	"1999"	28	4003280	0.707
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2000"	"2000"	43	4058589	1.058
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2001"	"2001"	39	4121474	0.945
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2002"	"2002"	36	4190302	0.853
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2003"	"2003"	45	4252139	1.059
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2004"	"2004"	37	4338695	0.845
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2005"	"2005"	40	4426511	0.894
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2006"	"2006"	27	4495577	0.595
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2007"	"2007"	26	4520513	0.564
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2008"	"2008"	43	4527628	0.931
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2009"	"2009"	28	4513647	0.606
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2010"	"2010"	26	4502829	0.559
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2011"	"2011"	22	4484509	0.480
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2012"	"2012"	22	4480062	0.494
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2013"	"2013"	28	4494301	0.623
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2014"	"2014"	29	4518227	0.639
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2015"	"2015"	31	4565764	0.680
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2016"	"2016"	23	4628015	0.498
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2017"	"2017"	29	4676055	0.618
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2018"	"2018"	25	4704922	0.530
	"Leukemias"	"35011-35043"	"Georgia"	"13"	"2001"	"2001"	21	2460269	0.866
	"Leukemias"	"35011-35043"	"Georgia"	"13"	"2002"	"2002"	18	2493892	0.732
	"Leukemias"	"35011-35043"	"Georgia"	"13"	"2003"	"2003"	18	2526258	0.722
	"Leukemias"	"35011-35043"	"Georgia"	"13"	"2004"	"2004"	20	2563023	0.784
	"Leukemias"	"35011-35043"	"Georgia"	"13"	"2005"	"2005"	18	2610593	0.683
	"Leukemias"	"35011-35043"	"Georgia"	"13"	"2006"	"2006"	30	2669592	1.114
	"Leukemias"	"35011-35043"	"Georgia"	"13"	"2007"	"2007"	27	2729049	1.000
	"Leukemias"	"35011-35043"	"Georgia"	"13"	"2008"	"2008"	19	2763796	0.682
	"Leukemias"	"35011-35043"	"Georgia"	"13"	"2012"	"2012"	21	2771210	0.759
	"Leukemias"	"35011-35043"	"Georgia"	"13"	"2013"	"2013"	20	2765254	0.724
	"Leukemias"	"35011-35043"	"Georgia"	"13"	"2014"	"2014"	17	2766663	0.613
	"Leukemias"	"35011-35043"	"Georgia"	"13"	"2018"	"2018"	16	2799078	0.567
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"1999"	"1999"	21	3599110	0.585
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2000"	"2000"	35	3606347	0.972
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2001"	"2001"	39	3603190	1.082
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2002"	"2002"	27	3594189	0.750
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2003"	"2003"	23	3581302	0.645
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2004"	"2004"	36	3571714	1.008
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2006"	"2006"	20	3537020	0.563
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2007"	"2007"	24	3531290	0.675
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2008"	"2008"	21	3522622	0.595
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2009"	"2009"	22	3509764	0.628
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2010"	"2010"	26	3490249	0.741
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2011"	"2011"	29	3456390	0.830
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2012"	"2012"	21	3417238	0.607
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2013"	"2013"	26	3376957	0.763
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2014"	"2014"	19	3335376	0.563
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2015"	"2015"	22	3297373	0.666
